"","sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map05014..Amyotrophic.lateral.sclerosis","map05014..Amyotrophic.lateral.sclerosis","482","530","454","418","456","471","470","430","579","545","520","443","423","496","491"
"map05016..Huntington.disease","map05016..Huntington.disease","393","441","403","361","384","391","381","350","475","458","420","379","337","404","418"
"map05017..Spinocerebellar.ataxia","map05017..Spinocerebellar.ataxia","107","142","119","109","114","118"," 83"," 80","139","131","126","117","106","107","112"
"map05020..Prion.disease","map05020..Prion.disease","415","447","439","372","396","436","413","377","524","471","486","403","374","460","428"
"map05022..Pathways.of.neurodegeneration...multiple.diseases","map05022..Pathways.of.neurodegeneration...multiple.diseases","519","582","530","482","498","550","526","468","656","578","578","480","483","562","556"
"map05030..Cocaine.addiction","map05030..Cocaine.addiction"," 7"," 4","16"," 7"," 9"," 7"," 8"," 9"," 7","15","13"," 9","14"," 9"," 9"
"map05031..Amphetamine.addiction","map05031..Amphetamine.addiction","64","66","60","54","63","40","69","43","70","75","70","64","64","80","59"
"map05032..Morphine.addiction","map05032..Morphine.addiction","25","22","20","19","24","18","20","21","27","33","28","22","19","24","21"
"map05034..Alcoholism","map05034..Alcoholism","159","157","136","115","140","124","153","100","181","174","157","135","126","159","143"
"map05100..Bacterial.invasion.of.epithelial.cells","map05100..Bacterial.invasion.of.epithelial.cells","121","102"," 89"," 74","111","102"," 97"," 85","116","109"," 88"," 91"," 87"," 96","104"
"map05110..Vibrio.cholerae.infection","map05110..Vibrio.cholerae.infection","147","124","109","107","116","124","131","118","137","137","119","108","125","144","130"
"map05111..Biofilm.formation...Vibrio.cholerae","map05111..Biofilm.formation...Vibrio.cholerae","26","21"," 8"," 9","18"," 5"," 4"," 3"," 4"," 3"," 4"," 6"," 0"," 1"," 4"
"map05120..Epithelial.cell.signaling.in.Helicobacter.pylori.infection","map05120..Epithelial.cell.signaling.in.Helicobacter.pylori.infection","79","63","51","56","60","61","48","58","62","58","62","41","59","61","55"
"map05130..Pathogenic.Escherichia.coli.infection","map05130..Pathogenic.Escherichia.coli.infection","614","576","576","492","559","569","507","496","630","606","554","464","515","631","570"
"map05131..Shigellosis","map05131..Shigellosis","302","272","268","226","275","281","256","233","340","266","252","254","221","286","293"
"map05132..Salmonella.infection","map05132..Salmonella.infection","671","640","622","550","604","595","567","528","660","645","605","508","554","664","620"
"map05133..Pertussis","map05133..Pertussis","35","41","39","35","39","34","43","23","42","37","43","31","38","44","34"
"map05134..Legionellosis","map05134..Legionellosis","224","216","202","180","190","221","174","179","218","198","187","175","161","259","227"
"map05135..Yersinia.infection","map05135..Yersinia.infection","119","109"," 94"," 77","109","108","105"," 94","128","113"," 94"," 92"," 92","104","113"
"map05140..Leishmaniasis","map05140..Leishmaniasis","114","107","125"," 92","110","124"," 98","101","119","109","122","117"," 92","143","141"
"map05142..Chagas.disease","map05142..Chagas.disease","22","40","37","27","22","37","31","22","31","23","30","13","33","39","32"
"map05143..African.trypanosomiasis","map05143..African.trypanosomiasis","3","4","0","3","1","2","0","2","0","3","1","0","2","1","1"
"map05144..Malaria","map05144..Malaria","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"map05145..Toxoplasmosis","map05145..Toxoplasmosis","54","51","67","57","61","82","54","51","74","60","77","43","55","88","70"
"map05146..Amoebiasis","map05146..Amoebiasis","11","28","15","17","16","16","15","12","19","11","13","16","21","19"," 9"
"map05150..Staphylococcus.aureus.infection","map05150..Staphylococcus.aureus.infection"," 5","14"," 0"," 2"," 8"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"
"map05152..Tuberculosis","map05152..Tuberculosis"," 74"," 97"," 68"," 77"," 96"," 75"," 70"," 60","108"," 75"," 68"," 71"," 77"," 94"," 79"
"map05160..Hepatitis.C","map05160..Hepatitis.C","37","50","50","29","33","48","38","24","61","33","36","32","33","53","34"
"map05161..Hepatitis.B","map05161..Hepatitis.B","11","21","20","18","11","18","14","10","30","13","23","17","17","17","18"
"map05162..Measles","map05162..Measles","61","52","74","62","57","80","66","57","78","64","68","53","47","82","66"
"map05163..Human.cytomegalovirus.infection","map05163..Human.cytomegalovirus.infection"," 71"," 71"," 73"," 59"," 74"," 68"," 76"," 61","109"," 89"," 88"," 81"," 70"," 83"," 76"
"map05164..Influenza.A","map05164..Influenza.A","116","107"," 95"," 81","102"," 99","101"," 83","123","105","117"," 99"," 97","106","101"
"map05165..Human.papillomavirus.infection","map05165..Human.papillomavirus.infection","147","163","152","128","120","143","121","104","164","137","126","115","124","150","120"
"map05166..Human.T.cell.leukemia.virus.1.infection","map05166..Human.T.cell.leukemia.virus.1.infection","50","63","52","59","55","59","52","55","77","57","67","64","50","61","42"
"map05167..Kaposi.sarcoma.associated.herpesvirus.infection","map05167..Kaposi.sarcoma.associated.herpesvirus.infection","127","115","124"," 96","109","129","113"," 97","175","126","129","113","106","134","142"
"map05168..Herpes.simplex.virus.1.infection","map05168..Herpes.simplex.virus.1.infection","40","45","27","31","34","22","29","22","37","36","41","36","38","42","26"
"map05169..Epstein.Barr.virus.infection","map05169..Epstein.Barr.virus.infection"," 83"," 88"," 90"," 64"," 80"," 76"," 58"," 57","114"," 88"," 82"," 95"," 66"," 72"," 84"
"map05170..Human.immunodeficiency.virus.1.infection","map05170..Human.immunodeficiency.virus.1.infection","108"," 99"," 98"," 77"," 94"," 85"," 84"," 77","127","106","116"," 95"," 89","111"," 95"
"map05200..Pathways.in.cancer","map05200..Pathways.in.cancer","138","151","143","117","138","117","146","101","160","166","141","133","120","152","126"
"map05202..Transcriptional.misregulation.in.cancer","map05202..Transcriptional.misregulation.in.cancer","55","45","44","39","54","51","57","40","68","50","45","51","38","53","52"
"map05203..Viral.carcinogenesis","map05203..Viral.carcinogenesis","110","126"," 85"," 74","101"," 89"," 70"," 62","130","111","105"," 92"," 76","102"," 84"
"map05204..Chemical.carcinogenesis","map05204..Chemical.carcinogenesis","11","19","10","13","10"," 9","12","15","13","10","17","17","12","10","13"
"map05205..Proteoglycans.in.cancer","map05205..Proteoglycans.in.cancer","156","147","134","124","144","135","139","122","167","150","163","127","139","154","147"
"map05206..MicroRNAs.in.cancer","map05206..MicroRNAs.in.cancer","73","65","74","51","80","58","53","48","80","62","63","59","50","78","64"
"map05210..Colorectal.cancer","map05210..Colorectal.cancer","35","39","38","26","31","37","31","29","57","40","37","37","32","35","33"
"map05211..Renal.cell.carcinoma","map05211..Renal.cell.carcinoma","43","31","41","24","37","35","26","33","45","34","47","31","31","38","37"
"map05212..Pancreatic.cancer","map05212..Pancreatic.cancer","27","30","26","19","27","34","25","24","46","33","38","28","27","28","25"
"map05213..Endometrial.cancer","map05213..Endometrial.cancer","10","18","20","10","11","17","17","13","26","16","16","16","12","15","16"
"map05214..Glioma","map05214..Glioma","26","30","27","24","28","27","34","17","43","29","32","29","30","36","29"
"map05215..Prostate.cancer","map05215..Prostate.cancer","48","61","51","39","32","33","58","36","49","54","48","43","41","48","49"
"map05216..Thyroid.cancer","map05216..Thyroid.cancer"," 6","11"," 9"," 5"," 8"," 8"," 9"," 4","18","10","12"," 6"," 6","10"," 9"
"map05217..Basal.cell.carcinoma","map05217..Basal.cell.carcinoma","3","6","6","1","3","5","8","5","6","6","0","7","2","2","5"
"map05218..Melanoma","map05218..Melanoma"," 6","11"," 9"," 6"," 8"," 8"," 9"," 4","19","10","12"," 6"," 6","10"," 9"
"map05219..Bladder.cancer","map05219..Bladder.cancer"," 6","10","11"," 7","10"," 8"," 8"," 6","19","10","12"," 6"," 7","10"," 9"
"map05220..Chronic.myeloid.leukemia","map05220..Chronic.myeloid.leukemia","21","23","20","11","24","15","20","10","33","24","19","17","14","25","21"
"map05221..Acute.myeloid.leukemia","map05221..Acute.myeloid.leukemia","11","13","11"," 7"," 9","10","10"," 6","22","12","16","12","13","12","12"
"map05222..Small.cell.lung.cancer","map05222..Small.cell.lung.cancer","1","2","3","3","3","4","2","1","6","4","2","5","3","5","0"
"map05223..Non.small.cell.lung.cancer","map05223..Non.small.cell.lung.cancer"," 9","18","18","16","11","14","11","11","21","10","17","11","11","16","15"
"map05224..Breast.cancer","map05224..Breast.cancer","14","19","17"," 9","12","15","18","11","29","18","16","19","15","14","17"
"map05225..Hepatocellular.carcinoma","map05225..Hepatocellular.carcinoma"," 89"," 88"," 73"," 57"," 82"," 75"," 88"," 70","102"," 92"," 79"," 74"," 70"," 82"," 86"
"map05226..Gastric.cancer","map05226..Gastric.cancer","19","23","31","12","24","26","28","26","40","31","29","25","25","21","25"
"map05230..Central.carbon.metabolism.in.cancer","map05230..Central.carbon.metabolism.in.cancer","75","85","57","45","64","46","60","52","81","67","60","76","59","68","58"
"map05231..Choline.metabolism.in.cancer","map05231..Choline.metabolism.in.cancer","30","34","25","20","25","31","26","24","41","24","38","27","25","28","28"
"map05235..PD.L1.expression.and.PD.1.checkpoint.pathway.in.cancer","map05235..PD.L1.expression.and.PD.1.checkpoint.pathway.in.cancer","22","20","24","19","24","24","32","21","39","26","40","28","27","27","28"
"map05322..Systemic.lupus.erythematosus","map05322..Systemic.lupus.erythematosus","62","62","51","43","53","63","66","47","74","60","61","59","46","52","60"
"map05323..Rheumatoid.arthritis","map05323..Rheumatoid.arthritis","54","35","31","40","31","40","37","38","40","42","37","29","46","45","37"
"map05340..Primary.immunodeficiency","map05340..Primary.immunodeficiency","8","8","2","0","9","2","2","0","3","2","1","2","1","0","1"
"map05410..Hypertrophic.cardiomyopathy","map05410..Hypertrophic.cardiomyopathy","82","82","72","54","80","75","80","62","84","83","67","61","66","78","86"
"map05412..Arrhythmogenic.right.ventricular.cardiomyopathy","map05412..Arrhythmogenic.right.ventricular.cardiomyopathy","80","73","69","50","77","73","79","61","84","79","65","60","64","73","82"
"map05414..Dilated.cardiomyopathy","map05414..Dilated.cardiomyopathy","83","74","72","52","79","76","82","64","89","81","69","66","69","77","86"
"map05416..Viral.myocarditis","map05416..Viral.myocarditis","86","71","64","49","78","69","71","65","88","78","70","63","61","73","75"
"map05418..Fluid.shear.stress.and.atherosclerosis","map05418..Fluid.shear.stress.and.atherosclerosis","136","136","121","111","127","106","144","107","142","137","121","108","109","136","132"
