"","sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map00471..D.Glutamine.and.D.glutamate.metabolism","map00471..D.Glutamine.and.D.glutamate.metabolism","18","22"," 2"," 4","17"," 0"," 9"," 1"," 6"," 6"," 6"," 3"," 4"," 1"," 7"
"map00472..D.Arginine.and.D.ornithine.metabolism","map00472..D.Arginine.and.D.ornithine.metabolism","0","0","1","0","2","0","1","0","0","0","1","0","0","0","0"
"map00473..D.Alanine.metabolism","map00473..D.Alanine.metabolism"," 7","19"," 1"," 4","12"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 1"," 1"
"map00480..Glutathione.metabolism","map00480..Glutathione.metabolism","109","110"," 68"," 70","104"," 74"," 88"," 57"," 99"," 91"," 92"," 72"," 76"," 73"," 76"
"map00500..Starch.and.sucrose.metabolism","map00500..Starch.and.sucrose.metabolism","184","228"," 78","108","217"," 65"," 78"," 57"," 85"," 85"," 74"," 92"," 73"," 87"," 96"
"map00510..N.Glycan.biosynthesis","map00510..N.Glycan.biosynthesis","15","19","19","16","15","13","19"," 9","25","17","18","16","14","10","23"
"map00511..Other.glycan.degradation","map00511..Other.glycan.degradation","104","161"," 21"," 51","116"," 13"," 14","  5"," 10"," 14"," 10"," 12","  9"," 13"," 14"
"map00513..Various.types.of.N.glycan.biosynthesis","map00513..Various.types.of.N.glycan.biosynthesis","20","32","12","22","25","11"," 8"," 8","13","13"," 7"," 8"," 7"," 9","13"
"map00514..Other.types.of.O.glycan.biosynthesis","map00514..Other.types.of.O.glycan.biosynthesis","2","0","2","3","5","4","1","4","8","2","4","1","2","4","2"
"map00515..Mannose.type.O.glycan.biosynthesis","map00515..Mannose.type.O.glycan.biosynthesis","2","0","1","3","5","4","1","4","8","1","4","1","2","4","2"
"map00520..Amino.sugar.and.nucleotide.sugar.metabolism","map00520..Amino.sugar.and.nucleotide.sugar.metabolism","216","245"," 78","120","235"," 74"," 64"," 68"," 79"," 96"," 62"," 77"," 63"," 84"," 86"
"map00521..Streptomycin.biosynthesis","map00521..Streptomycin.biosynthesis","37","60","13","18","55"," 5","12"," 6","16","14","13","18","10","19","11"
"map00522..Biosynthesis.of.12...14..and.16.membered.macrolides","map00522..Biosynthesis.of.12...14..and.16.membered.macrolides","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"map00523..Polyketide.sugar.unit.biosynthesis","map00523..Polyketide.sugar.unit.biosynthesis","17","17"," 1"," 5","23"," 0"," 2"," 1"," 1"," 0"," 2"," 4"," 4"," 3"," 0"
"map00524..Neomycin..kanamycin.and.gentamicin.biosynthesis","map00524..Neomycin..kanamycin.and.gentamicin.biosynthesis","6","8","2","3","9","1","3","0","3","2","1","6","1","4","0"
"map00525..Acarbose.and.validamycin.biosynthesis","map00525..Acarbose.and.validamycin.biosynthesis"," 6"," 8"," 1"," 2","16"," 0"," 0"," 0"," 1"," 0"," 1"," 1"," 0"," 0"," 0"
"map00531..Glycosaminoglycan.degradation","map00531..Glycosaminoglycan.degradation","24","44"," 7","18","33"," 7"," 7"," 7"," 5"," 9"," 3"," 3"," 5"," 2"," 7"
"map00540..Lipopolysaccharide.biosynthesis","map00540..Lipopolysaccharide.biosynthesis","36","49"," 6","24","34"," 2"," 3"," 3"," 2"," 1"," 2"," 3"," 2"," 4"," 1"
"map00541..O.Antigen.nucleotide.sugar.biosynthesis","map00541..O.Antigen.nucleotide.sugar.biosynthesis","57","87","31","46","85","21","22","24","26","39","19","22","25","26","24"
"map00550..Peptidoglycan.biosynthesis","map00550..Peptidoglycan.biosynthesis"," 94","137"," 11"," 51","110","  5","  9","  5","  7","  7","  9","  3","  7"," 10","  7"
"map00561..Glycerolipid.metabolism","map00561..Glycerolipid.metabolism","79","79","39","65","83","48","49","40","67","49","45","51","33","57","61"
"map00562..Inositol.phosphate.metabolism","map00562..Inositol.phosphate.metabolism","32","54","23","33","34","16","29","11","30","25","22","12","23","28","32"
"map00563..Glycosylphosphatidylinositol..GPI..anchor.biosynthesis","map00563..Glycosylphosphatidylinositol..GPI..anchor.biosynthesis","11","11"," 4"," 2"," 8"," 8"," 4"," 6"," 6"," 6"," 5"," 6"," 6","10"," 6"
"map00564..Glycerophospholipid.metabolism","map00564..Glycerophospholipid.metabolism","51","69","20","39","69","29","32","30","26","25","34","28","22","29","24"
"map00565..Ether.lipid.metabolism","map00565..Ether.lipid.metabolism"," 1"," 5"," 3"," 3"," 2"," 4"," 1"," 3"," 3"," 3","12"," 6"," 5"," 6"," 5"
"map00571..Lipoarabinomannan..LAM..biosynthesis","map00571..Lipoarabinomannan..LAM..biosynthesis","0","1","0","2","0","0","0","1","0","1","1","0","0","1","0"
"map00572..Arabinogalactan.biosynthesis...Mycobacterium","map00572..Arabinogalactan.biosynthesis...Mycobacterium","7","6","3","3","3","5","4","1","2","1","0","2","2","5","3"
"map00590..Arachidonic.acid.metabolism","map00590..Arachidonic.acid.metabolism"," 2","12"," 3"," 1"," 9"," 5"," 3"," 6"," 8","14"," 3"," 4"," 9"," 4"," 8"
"map00591..Linoleic.acid.metabolism","map00591..Linoleic.acid.metabolism","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"map00592..alpha.Linolenic.acid.metabolism","map00592..alpha.Linolenic.acid.metabolism","11","13","12","14","16","12","11"," 8"," 8","17","11","15","13","13"," 6"
"map00600..Sphingolipid.metabolism","map00600..Sphingolipid.metabolism"," 75","101"," 17"," 45"," 79"," 17"," 15"," 13"," 20"," 26"," 22"," 19"," 20"," 15"," 17"
"map00603..Glycosphingolipid.biosynthesis...globo.and.isoglobo.series","map00603..Glycosphingolipid.biosynthesis...globo.and.isoglobo.series","23","39"," 3","22","28"," 8"," 3"," 4"," 3"," 7"," 3"," 4"," 5"," 5"," 6"
"map00604..Glycosphingolipid.biosynthesis...ganglio.series","map00604..Glycosphingolipid.biosynthesis...ganglio.series","15","28"," 1","12","19"," 4"," 0"," 2"," 2"," 3"," 1"," 1"," 2"," 1"," 1"
"map00620..Pyruvate.metabolism","map00620..Pyruvate.metabolism","237","279","153","150","243","113","119","128","152","148","133","132","103","141","155"
"map00621..Dioxin.degradation","map00621..Dioxin.degradation","1","2","1","2","1","1","1","0","0","1","1","0","4","1","1"
"map00622..Xylene.degradation","map00622..Xylene.degradation","4","2","1","0","2","0","0","0","0","1","1","0","0","1","0"
"map00623..Toluene.degradation","map00623..Toluene.degradation","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"map00624..Polycyclic.aromatic.hydrocarbon.degradation","map00624..Polycyclic.aromatic.hydrocarbon.degradation","1","2","1","2","1","1","1","0","0","0","1","0","4","1","1"
"map00625..Chloroalkane.and.chloroalkene.degradation","map00625..Chloroalkane.and.chloroalkene.degradation","52","56","40","39","41","37","42","38","48","45","36","47","29","45","44"
"map00626..Naphthalene.degradation","map00626..Naphthalene.degradation","18","29","12","14","12"," 9"," 9","14"," 6","10","11","16","15"," 9","11"
"map00627..Aminobenzoate.degradation","map00627..Aminobenzoate.degradation"," 9"," 8"," 6","10","10"," 3"," 9"," 3","14"," 9"," 6"," 6","10"," 9","10"
"map00630..Glyoxylate.and.dicarboxylate.metabolism","map00630..Glyoxylate.and.dicarboxylate.metabolism","154","163","111"," 90","137","101"," 84","112","112","122","112"," 94"," 87"," 85","123"
"map00633..Nitrotoluene.degradation","map00633..Nitrotoluene.degradation","1","4","0","0","1","2","0","1","1","1","0","0","1","1","0"
"map00640..Propanoate.metabolism","map00640..Propanoate.metabolism","125","136"," 94"," 75","130"," 81"," 79"," 93"," 93"," 98"," 99"," 87"," 74"," 74","115"
"map00642..Ethylbenzene.degradation","map00642..Ethylbenzene.degradation","3","8","2","3","5","4","6","2","1","6","5","8","5","7","4"
"map00643..Styrene.degradation","map00643..Styrene.degradation","23","16"," 9","11","20","13","10"," 8","11","11","10","17","15","12","12"
"map00650..Butanoate.metabolism","map00650..Butanoate.metabolism","119","139"," 66"," 71"," 90"," 52"," 74"," 61"," 76"," 66"," 70"," 57"," 56"," 59"," 76"
"map00660..C5.Branched.dibasic.acid.metabolism","map00660..C5.Branched.dibasic.acid.metabolism","12","20"," 6"," 6","23","11","10"," 5"," 9"," 5"," 7"," 5"," 4"," 5","11"
"map00670..One.carbon.pool.by.folate","map00670..One.carbon.pool.by.folate"," 89","117"," 60"," 54","103"," 61"," 33"," 36"," 60"," 48"," 61"," 47"," 44"," 32"," 51"
"map00680..Methane.metabolism","map00680..Methane.metabolism","158","166","100","110","143"," 82"," 83","110","115","135","113","121"," 84"," 92","107"
"map00710..Carbon.fixation.in.photosynthetic.organisms","map00710..Carbon.fixation.in.photosynthetic.organisms","374","346","279","278","339","298","231","222","297","275","283","236","260","329","300"
"map00720..Carbon.fixation.pathways.in.prokaryotes","map00720..Carbon.fixation.pathways.in.prokaryotes","196","224","102","105","172"," 85","101","103","128","120","110","105","110"," 87","128"
"map00730..Thiamine.metabolism","map00730..Thiamine.metabolism","44","64","15","21","47","12"," 7","21","14","16","13","19","19","15","17"
"map00740..Riboflavin.metabolism","map00740..Riboflavin.metabolism"," 9","28"," 1"," 9","20"," 4"," 4"," 2"," 1"," 1"," 1"," 0"," 0"," 1"," 1"
"map00750..Vitamin.B6.metabolism","map00750..Vitamin.B6.metabolism","17","33"," 9","24","28","10"," 7"," 6"," 7"," 8"," 6"," 7"," 9"," 9"," 7"
"map00760..Nicotinate.and.nicotinamide.metabolism","map00760..Nicotinate.and.nicotinamide.metabolism","56","84","24","33","65","23","25","30","35","33","37","23","24","25","27"
"map00770..Pantothenate.and.CoA.biosynthesis","map00770..Pantothenate.and.CoA.biosynthesis","63","68","34","42","66","35","41","26","42","36","34","35","22","38","39"
"map00780..Biotin.metabolism","map00780..Biotin.metabolism","31","28"," 9","13","26"," 7","10","14","12","10","17","11","12"," 7","15"
"map00785..Lipoic.acid.metabolism","map00785..Lipoic.acid.metabolism","10","17"," 5","16"," 9"," 2"," 4"," 8"," 7"," 5"," 4"," 7"," 5"," 4"," 6"
"map00790..Folate.biosynthesis","map00790..Folate.biosynthesis","51","68","17","27","56","21","15","13","21","16","16","17","12","22"," 9"
"map00791..Atrazine.degradation","map00791..Atrazine.degradation","0","2","0","0","0","1","0","0","3","0","0","2","0","1","0"
"map00830..Retinol.metabolism","map00830..Retinol.metabolism","18","19","13","14","11"," 9"," 8","14","10","12","11","16","14","10","14"
"map00860..Porphyrin.and.chlorophyll.metabolism","map00860..Porphyrin.and.chlorophyll.metabolism","54","58","32","39","50","25","37","26","27","37","33","32","22","29","35"
"map00900..Terpenoid.backbone.biosynthesis","map00900..Terpenoid.backbone.biosynthesis","45","78","33","27","71","20","24","26","33","27","32","26","21","21","41"
"map00901..Indole.alkaloid.biosynthesis","map00901..Indole.alkaloid.biosynthesis","0","1","5","0","1","1","1","1","0","5","1","2","1","1","2"
"map00903..Limonene.and.pinene.degradation","map00903..Limonene.and.pinene.degradation","41","34","29","35","35","33","36","25","50","38","30","32","23","40","40"
"map00906..Carotenoid.biosynthesis","map00906..Carotenoid.biosynthesis","3","2","1","2","2","2","3","1","1","2","1","2","0","3","0"
"map00908..Zeatin.biosynthesis","map00908..Zeatin.biosynthesis","6","7","0","2","2","0","0","0","0","0","0","0","1","0","1"
"map00909..Sesquiterpenoid.and.triterpenoid.biosynthesis","map00909..Sesquiterpenoid.and.triterpenoid.biosynthesis","3","4","1","2","1","2","3","0","1","5","1","1","1","2","7"
"map00910..Nitrogen.metabolism","map00910..Nitrogen.metabolism","48","59"," 9","25","58","11","14"," 9","12","15","12","12","10","13","10"
"map00920..Sulfur.metabolism","map00920..Sulfur.metabolism","73","80","46","46","67","41","42","31","51","48","44","34","32","36","56"
"map00930..Caprolactam.degradation","map00930..Caprolactam.degradation","12","11"," 8"," 8","12"," 6"," 6"," 7","21","11"," 8","10","11","12","12"
"map00940..Phenylpropanoid.biosynthesis","map00940..Phenylpropanoid.biosynthesis","12","11"," 4"," 1","14"," 2"," 5"," 4"," 4"," 6"," 6"," 5"," 4"," 9"," 6"
"map00941..Flavonoid.biosynthesis","map00941..Flavonoid.biosynthesis","2","3","0","0","0","0","0","1","0","1","0","0","0","0","0"
"map00943..Isoflavonoid.biosynthesis","map00943..Isoflavonoid.biosynthesis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"map00944..Flavone.and.flavonol.biosynthesis","map00944..Flavone.and.flavonol.biosynthesis","3","0","2","1","1","2","3","3","0","4","2","3","1","1","4"
"map00945..Stilbenoid..diarylheptanoid.and.gingerol.biosynthesis","map00945..Stilbenoid..diarylheptanoid.and.gingerol.biosynthesis","2","3","0","0","0","0","0","1","0","1","0","0","0","0","0"
"map00950..Isoquinoline.alkaloid.biosynthesis","map00950..Isoquinoline.alkaloid.biosynthesis","13","14","10"," 7"," 8"," 5"," 7"," 3"," 3","11","14"," 7"," 8"," 4"," 8"
"map00960..Tropane..piperidine.and.pyridine.alkaloid.biosynthesis","map00960..Tropane..piperidine.and.pyridine.alkaloid.biosynthesis","14","17"," 5"," 8"," 8"," 5"," 8"," 3"," 7"," 5","14"," 4"," 5"," 3","10"
"map00965..Betalain.biosynthesis","map00965..Betalain.biosynthesis","2","3","5","1","2","1","2","2","0","6","1","2","1","1","2"
"map00966..Glucosinolate.biosynthesis","map00966..Glucosinolate.biosynthesis"," 5","11"," 2"," 2"," 7"," 1"," 3"," 2"," 0"," 0"," 2"," 1"," 1"," 1"," 1"
"map00970..Aminoacyl.tRNA.biosynthesis","map00970..Aminoacyl.tRNA.biosynthesis","239","312","143","142","262"," 97","104"," 91","131","123","119","117","100","101","129"
"map00980..Metabolism.of.xenobiotics.by.cytochrome.P450","map00980..Metabolism.of.xenobiotics.by.cytochrome.P450","16","22","13","17","12","12","13","18","12","11","18","18","15","12","16"
"map00981..Insect.hormone.biosynthesis","map00981..Insect.hormone.biosynthesis","35","29","26","27","29","28","33","23","37","34","26","28","15","35","32"
"map00982..Drug.metabolism...cytochrome.P450","map00982..Drug.metabolism...cytochrome.P450","17","21","14","16","10","10","13","17","10","11","18","18","16","11","14"
"map00983..Drug.metabolism...other.enzymes","map00983..Drug.metabolism...other.enzymes","69","91","41","55","70","52","70","29","41","67","52","50","50","45","49"
"map00984..Steroid.degradation","map00984..Steroid.degradation","1","0","1","0","0","0","1","0","1","1","0","0","1","1","0"
"map00997..Biosynthesis.of.various.secondary.metabolites...part.3","map00997..Biosynthesis.of.various.secondary.metabolites...part.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"map00998..Biosynthesis.of.various.secondary.metabolites...part.2","map00998..Biosynthesis.of.various.secondary.metabolites...part.2","1","3","0","0","3","0","0","0","1","0","0","0","0","0","0"
"map01040..Biosynthesis.of.unsaturated.fatty.acids","map01040..Biosynthesis.of.unsaturated.fatty.acids","14","13","21","14","17","17","13","10","11","17","15","11","14"," 7","12"
"map01051..Biosynthesis.of.ansamycins","map01051..Biosynthesis.of.ansamycins","16","21"," 4"," 8","10"," 2"," 2"," 4"," 2"," 2"," 5"," 5"," 8"," 4"," 8"
"map01052..Type.I.polyketide.structures","map01052..Type.I.polyketide.structures","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"map01053..Biosynthesis.of.siderophore.group.nonribosomal.peptides","map01053..Biosynthesis.of.siderophore.group.nonribosomal.peptides","3","5","3","3","5","3","1","1","1","2","1","1","0","1","5"
"map01054..Nonribosomal.peptide.structures","map01054..Nonribosomal.peptide.structures","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0"
"map01055..Biosynthesis.of.vancomycin.group.antibiotics","map01055..Biosynthesis.of.vancomycin.group.antibiotics"," 7","10"," 1"," 2","17"," 0"," 0"," 1"," 2"," 1"," 1"," 3"," 2"," 1"," 0"
"map01057..Biosynthesis.of.type.II.polyketide.products","map01057..Biosynthesis.of.type.II.polyketide.products","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"map01059..Biosynthesis.of.enediyne.antibiotics","map01059..Biosynthesis.of.enediyne.antibiotics","0","0","2","1","1","0","1","0","1","1","0","0","0","0","0"
"map01200..Carbon.metabolism","map01200..Carbon.metabolism","873","929","639","627","809","591","549","550","690","666","632","565","578","649","675"
"map01210..2.Oxocarboxylic.acid.metabolism","map01210..2.Oxocarboxylic.acid.metabolism"," 95","109"," 64"," 48"," 81"," 55"," 59"," 60"," 68"," 62"," 65"," 54"," 63"," 46"," 67"
"map01212..Fatty.acid.metabolism","map01212..Fatty.acid.metabolism","126","130"," 84"," 82","132"," 67"," 70"," 79"," 87"," 87"," 80"," 75"," 74"," 67"," 87"
"map01220..Degradation.of.aromatic.compounds","map01220..Degradation.of.aromatic.compounds","27","37","18","20","22","11"," 9","17","11","12","14","20","17","14","15"
"map01230..Biosynthesis.of.amino.acids","map01230..Biosynthesis.of.amino.acids","792","813","515","523","746","479","430","437","541","513","501","449","463","526","511"
"map01501..beta.Lactam.resistance","map01501..beta.Lactam.resistance"," 87","133"," 17"," 42"," 98"," 11"," 11"," 13"," 10"," 14","  2","  3"," 20","  9","  9"
"map01502..Vancomycin.resistance","map01502..Vancomycin.resistance","18","38"," 1"," 8","26"," 1"," 1"," 0"," 0"," 0"," 2"," 0"," 3"," 1"," 1"
"map01503..Cationic.antimicrobial.peptide..CAMP..resistance","map01503..Cationic.antimicrobial.peptide..CAMP..resistance","40","47","12","12","28"," 7","11","11"," 1","14"," 1"," 1","21"," 9"," 3"
"map01521..EGFR.tyrosine.kinase.inhibitor.resistance","map01521..EGFR.tyrosine.kinase.inhibitor.resistance","24","29","29","25","26","30","31","29","37","27","32","32","29","28","31"
"map01522..Endocrine.resistance","map01522..Endocrine.resistance","14","14","16","11","12","16","15","11","30","14","23","20","21","17","21"
"map01523..Antifolate.resistance","map01523..Antifolate.resistance","42","53","36","31","35","31","21","21","32","26","27","29","21","25","30"
"map01524..Platinum.drug.resistance","map01524..Platinum.drug.resistance","18","31","32","21","28","27","22","18","29","24","38","27","21","35","16"
"map02010..ABC.transporters","map02010..ABC.transporters","215","242"," 53"," 88","218"," 50"," 46"," 44"," 62"," 46"," 51"," 39"," 38"," 46"," 49"
"map02020..Two.component.system","map02020..Two.component.system","164","203"," 74"," 91","183"," 73"," 55"," 54"," 76"," 72"," 91"," 77"," 66"," 71"," 68"
"map02024..Quorum.sensing","map02024..Quorum.sensing","153","187"," 21"," 59","156"," 17"," 22"," 16"," 26"," 23"," 19"," 17"," 16"," 21"," 22"
"map02025..Biofilm.formation...Pseudomonas.aeruginosa","map02025..Biofilm.formation...Pseudomonas.aeruginosa","11","14"," 9"," 2"," 8"," 4"," 3"," 5"," 7","10"," 5"," 3"," 4"," 8"," 8"
"map02026..Biofilm.formation...Escherichia.coli","map02026..Biofilm.formation...Escherichia.coli","36","50","18","20","36","14","30","11","24","28","15","22","22","19","22"
"map02030..Bacterial.chemotaxis","map02030..Bacterial.chemotaxis","4","8","3","3","7","0","3","1","6","3","1","3","3","4","2"
"map02040..Flagellar.assembly","map02040..Flagellar.assembly"," 4"," 7"," 1"," 4","10"," 0"," 1"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"
"map02060..Phosphotransferase.system..PTS.","map02060..Phosphotransferase.system..PTS.","36","31"," 3"," 7","37"," 0"," 0"," 0"," 3"," 1"," 0"," 0"," 1"," 0"," 0"
"map03008..Ribosome.biogenesis.in.eukaryotes","map03008..Ribosome.biogenesis.in.eukaryotes","100","111","116","105","105"," 92"," 96"," 98","133","108","128"," 99"," 91","109"," 93"
"map03010..Ribosome","map03010..Ribosome","743","738","690","640","724","656","570","582","770","661","693","605","538","678","708"
"map03013..RNA.transport","map03013..RNA.transport","278","284","277","224","279","300","247","237","295","279","275","275","240","309","276"
"map03015..mRNA.surveillance.pathway","map03015..mRNA.surveillance.pathway","123","149","146","118","131","136","117","106","139","123","140","112","119","150","117"
"map03018..RNA.degradation","map03018..RNA.degradation","197","187","101","135","189"," 90"," 91"," 91","130","108","107","101"," 92"," 91","112"
"map03020..RNA.polymerase","map03020..RNA.polymerase","68","90","34","52","94","45","37","39","42","48","30","31","23","48","44"
"map03022..Basal.transcription.factors","map03022..Basal.transcription.factors","15","14","18"," 6","18","14","16","13","18","11","16","16","15","15","19"
"map03030..DNA.replication","map03030..DNA.replication","152","167"," 66"," 79","187"," 49"," 59"," 58"," 61"," 50"," 46"," 41"," 57"," 48"," 71"
"map03040..Spliceosome","map03040..Spliceosome","282","263","263","226","270","273","246","235","333","266","279","239","226","296","269"
"map03050..Proteasome","map03050..Proteasome","55","86","71","62","60","61","41","47","82","86","78","68","58","59","66"
"map03060..Protein.export","map03060..Protein.export","73","84","15","30","63","32","22","29","28","20","32","25","31","39","26"
"map03070..Bacterial.secretion.system","map03070..Bacterial.secretion.system","62","51"," 6","21","41","13"," 3"," 2"," 5","12"," 6"," 3"," 4"," 5"," 8"
"map03320..PPAR.signaling.pathway","map03320..PPAR.signaling.pathway"," 92"," 98"," 88"," 84","109"," 83"," 73"," 67"," 95"," 76"," 78"," 53"," 62"," 70"," 86"
"map03410..Base.excision.repair","map03410..Base.excision.repair","225","254","199","183","230","187","203","186","222","204","173","156","174","201","193"
"map03420..Nucleotide.excision.repair","map03420..Nucleotide.excision.repair","146","143"," 66"," 78","152"," 47"," 62"," 48"," 64"," 48"," 44"," 54"," 48"," 51"," 63"
"map03430..Mismatch.repair","map03430..Mismatch.repair","144","173"," 42"," 66","163"," 34"," 34"," 30"," 35"," 32"," 31"," 30"," 33"," 30"," 35"
"map03440..Homologous.recombination","map03440..Homologous.recombination","132","168"," 42"," 71","181"," 43"," 37"," 23"," 51"," 35"," 33"," 27"," 27"," 32"," 26"
"map03450..Non.homologous.end.joining","map03450..Non.homologous.end.joining","4","3","2","1","2","1","2","7","6","4","3","3","4","3","2"
"map03460..Fanconi.anemia.pathway","map03460..Fanconi.anemia.pathway"," 9","15","20","14","20","25","20","17","19","18","17","16","17","14"," 8"
"map04010..MAPK.signaling.pathway","map04010..MAPK.signaling.pathway"," 79"," 65"," 82"," 63"," 70"," 98"," 71"," 85","108"," 81","103"," 70"," 71","105"," 94"
"map04011..MAPK.signaling.pathway...yeast","map04011..MAPK.signaling.pathway...yeast","68","67","84","77","78","65","74","59","88","92","86","59","61","90","77"
"map04012..ErbB.signaling.pathway","map04012..ErbB.signaling.pathway","19","21","21","11","12","20","19","18","28","20","22","18","18","18","20"
"map04013..MAPK.signaling.pathway...fly","map04013..MAPK.signaling.pathway...fly","53","44","49","52","40","49","49","36","70","36","50","40","37","60","44"
"map04014..Ras.signaling.pathway","map04014..Ras.signaling.pathway","76","70","67","55","69","69","64","63","94","85","83","63","60","79","71"
"map04015..Rap1.signaling.pathway","map04015..Rap1.signaling.pathway","113","109","107"," 85","119","106","117"," 99","136","123","118"," 91"," 98","119","121"
"map04016..MAPK.signaling.pathway...plant","map04016..MAPK.signaling.pathway...plant","32","29","32","35","33","28","43","16","31","40","29","38","32","35","27"
"map04020..Calcium.signaling.pathway","map04020..Calcium.signaling.pathway","38","44","40","37","48","51","50","28","56","45","46","43","45","56","47"
"map04022..cGMP.PKG.signaling.pathway","map04022..cGMP.PKG.signaling.pathway","73","85","76","72","80","68","87","50","87","92","89","64","85","93","80"
"map04024..cAMP.signaling.pathway","map04024..cAMP.signaling.pathway","89","91","88","69","78","79","91","73","98","93","98","71","95","97","91"
"map04062..Chemokine.signaling.pathway","map04062..Chemokine.signaling.pathway","58","54","60","39","54","53","52","56","76","71","66","51","44","59","60"
"map04064..NF.kappa.B.signaling.pathway","map04064..NF.kappa.B.signaling.pathway","18"," 9","18","11","14","16","17"," 6","12","10","13","13","11","17","10"
"map04066..HIF.1.signaling.pathway","map04066..HIF.1.signaling.pathway","374","336","334","317","343","333","271","283","353","323","347","283","309","379","338"
"map04068..FoxO.signaling.pathway","map04068..FoxO.signaling.pathway","28","35","39","38","43","29","36","30","54","37","46","26","21","37","42"
"map04070..Phosphatidylinositol.signaling.system","map04070..Phosphatidylinositol.signaling.system","28","36","31","31","31","24","36","21","38","30","28","18","27","40","34"
"map04071..Sphingolipid.signaling.pathway","map04071..Sphingolipid.signaling.pathway"," 83"," 98","105"," 81"," 71","103"," 67"," 69","112"," 68"," 90"," 63"," 69"," 86"," 85"
"map04072..Phospholipase.D.signaling.pathway","map04072..Phospholipase.D.signaling.pathway","31","43","29","33","26","27","27","25","42","40","32","29","28","38","33"
"map04080..Neuroactive.ligand.receptor.interaction","map04080..Neuroactive.ligand.receptor.interaction","19","16","10","10"," 9"," 9","10","14","17","15","19","20","16","16","17"
"map04110..Cell.cycle","map04110..Cell.cycle","76","66","68","55","77","47","55","45","66","76","55","56","45","64","71"
"map04111..Cell.cycle...yeast","map04111..Cell.cycle...yeast","83","91","86","77","85","73","84","61","91","80","82","72","70","77","93"
"map04112..Cell.cycle...Caulobacter","map04112..Cell.cycle...Caulobacter","60","76","16","27","69","11","11","11"," 8","12"," 7"," 6"," 9","11","15"
"map04113..Meiosis...yeast","map04113..Meiosis...yeast","120","138","134","109","124"," 97","107"," 95","137","121","123"," 90","112","106","126"
"map04114..Oocyte.meiosis","map04114..Oocyte.meiosis"," 87","112","106"," 89"," 92"," 82"," 99"," 65","114"," 93","111"," 90"," 91","118"," 90"
"map04115..p53.signaling.pathway","map04115..p53.signaling.pathway","18","14","11","14","15","14","10","11","19","17","15","13","13","16"," 9"
"map04120..Ubiquitin.mediated.proteolysis","map04120..Ubiquitin.mediated.proteolysis","135","115","136","116","108","144","115","103","153","110","112","103"," 95","131","125"
"map04122..Sulfur.relay.system","map04122..Sulfur.relay.system","11","16","10"," 8","20","11"," 8","11","12"," 9","13","10","13"," 9","13"
"map04130..SNARE.interactions.in.vesicular.transport","map04130..SNARE.interactions.in.vesicular.transport","0","1","1","2","0","1","2","1","0","0","1","0","1","2","1"
"map04136..Autophagy...other","map04136..Autophagy...other","26","29","24","27","23","22","22","18","31","27","23","24","21","31","26"
"map04137..Mitophagy...animal","map04137..Mitophagy...animal"," 77"," 70"," 90"," 69"," 69"," 91"," 71"," 60","107"," 67"," 76"," 59"," 67"," 83"," 92"
"map04138..Autophagy...yeast","map04138..Autophagy...yeast","80","80","69","72","71","72","71","51","93","72","70","63","54","77","83"
"map04139..Mitophagy...yeast","map04139..Mitophagy...yeast","22","15","30","20","17","24","30","20","25","15","30","23","25","28","24"
"map04140..Autophagy...animal","map04140..Autophagy...animal","52","73","51","56","53","56","56","40","73","67","63","59","45","69","67"
"map04141..Protein.processing.in.endoplasmic.reticulum","map04141..Protein.processing.in.endoplasmic.reticulum","177","180","178","174","163","183","192","168","201","166","183","139","158","224","190"
"map04142..Lysosome","map04142..Lysosome","103","115"," 65"," 65"," 91"," 51"," 44"," 54"," 76"," 64"," 47"," 51"," 57"," 63"," 64"
"map04144..Endocytosis","map04144..Endocytosis","155","145","145","147","134","159","123","119","161","153","139","131","124","154","155"
"map04145..Phagosome","map04145..Phagosome","356","323","316","267","304","295","314","296","358","344","318","281","305","326","301"
"map04146..Peroxisome","map04146..Peroxisome","72","77","64","59","74","51","75","55","77","72","81","59","65","64","62"
"map04150..mTOR.signaling.pathway","map04150..mTOR.signaling.pathway","81","76","85","77","71","82","74","67","84","84","89","74","74","85","85"
"map04151..PI3K.Akt.signaling.pathway","map04151..PI3K.Akt.signaling.pathway","156","180","179","138","141","137","152","126","178","145","161","131","115","159","145"
"map04152..AMPK.signaling.pathway","map04152..AMPK.signaling.pathway","257","270","267","200","217","230","174","199","269","217","237","214","205","228","238"
