"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"butyric acid","3.541834","3.778702","4.037764","3.940186","3.640779","4.131388","4.892018","4.604348","4.459644","4.737850","5.176274","4.902669","4.564253","3.597132","4.517833"
"threonic acid","18.19453","17.53462","18.71165","16.02441","19.86820","15.18970","17.36049","11.84522","16.70195","14.91389","13.81004","20.66596","13.22074","11.76562","13.75440"
"4,4'-sulfonylbisphenol","0.7125227","0.7167084","0.7498490","0.4863997","0.5014958","0.5598462","0.3161317","0.2284077","0.5076574","0.1783941","0.1669140","0.4932500","0.2746156","0.5217589","0.4738937"
"n-nitrosopiperidine","0.10331246","0.08872826","0.08632876","0.11028732","0.11976017","0.09938859","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.16983558","0.00000000","0.00000000","0.13285658"
"d-myo-inositol-4-phosphate","15.762410","20.154710","18.867358","20.849575"," 7.117798","17.847917","15.454469"," 9.807480","14.294367","10.375618"," 7.864008","13.942400"," 7.656838","14.179473"," 9.815217"
"phospho-l-serine","3.033061","2.876092","3.151996","3.040205","2.622380","3.129424","3.211440","2.324637","3.205464","2.674600","2.368791","3.324802","2.579348","2.588863","2.738538"
"propamocarb","1.595358","1.940197","1.658776","2.211050","1.267602","1.222433","1.730252","1.049304","1.636768","1.181662","1.164783","1.719544","1.323828","1.375491","1.592191"
"alantolactone","0.5160143","0.6619767","0.6282542","0.4999279","1.4508439","0.6620871","0.5394174","0.4397318","0.7610623","0.9558451","0.7840055","0.5956515","0.7926742","0.5374344","1.0133343"
"l-glutamine"," 52.63707"," 78.06342"," 81.70223","112.68793","155.91863"," 81.82602","137.05605","126.47647","167.81250","131.02882"," 98.99692","149.71044","182.41657"," 89.12979","103.06343"
"succinic anhydride","0.19977587","0.21178225","0.21373120","0.31144440","0.24828102","0.21824129","0.09182521","0.08050452","0.10675321","0.15889804","0.09326102","0.11377653","0.15325035","0.11746068","0.12297932"
"l-methionine"," 7.019782"," 6.919736"," 6.977882"," 7.450328","20.246651"," 6.258090"," 7.003095"," 5.826694"," 7.219814"," 6.612116"," 7.684473"," 8.550839"," 5.552609"," 5.540171","16.377986"
"adenine","2.116974","3.899649","4.203324","3.622410","5.377203","3.483554","3.247731","1.093371","3.998698","2.997453","1.392255","6.112665","4.358526","3.896037","4.978791"
"7-methylguanine","0.3251994","0.3598154","0.2850355","0.2837453","0.2716362","0.2529269","0.2688204","0.1910069","0.2492986","0.1975981","0.1986996","0.2701370","0.2088509","0.2403539","0.2421349"
"13s-hydroxy-9z,11e,15z-octadecatrienoic acid","3.204776","3.542639","3.500200","2.764754","2.359238","4.488065","2.346957","1.453520","3.377680","1.622757","1.860331","3.380639","1.289789","3.916499","2.635023"
"o,o-diethyl thiophosphate","0.07340611","0.05603903","0.08081639","0.05907340","0.00000000","0.04579870","0.07161701","0.00000000","0.08331958","0.06499523","0.05652175","0.07112532","0.05874144","0.06322488","0.00000000"
"l-serine","4.395311","4.154457","4.146047","5.106565","6.028862","3.689548","3.735799","3.360781","4.661201","4.415111","3.593802","4.050873","3.307925","3.000070","5.234355"
"l-theanine","0.7916243","0.8159307","1.0000000","0.8912481","0.7746129","0.8310968","1.0692158","1.0322282","0.9423890","1.0363654","0.9774348","1.1327169","1.0015510","0.7722545","1.0903819"
"thiacloprid","0.7777559","0.7581168","0.7590363","0.6249883","0.5518686","0.5758057","0.4742047","0.3491483","0.5144229","0.3009854","0.3464751","0.6253833","0.4565519","0.5452467","0.5327710"
"uridine monophosphate (ump)","0.13611072","0.18122331","0.26167547","0.44002316","0.06260128","0.21496103","0.09950692","0.04128405","0.06862405","0.06848052","0.06264809","0.06397974","0.50769684","0.29574466","0.04216175"
"(3-carboxypropyl)trimethylammonium cation","13.43205","17.29488","18.79229","10.73005","22.07422","12.48427","24.07570","17.64852","24.40700","14.46173","15.65313","26.27954","17.42288","14.58300","27.77705"
"3-hydroxy-2-butanone","3.541834","3.778702","4.037764","3.940186","3.640779","4.131388","4.892018","4.604348","4.459644","4.737850","5.176274","4.902669","4.564253","3.597132","4.517833"
"dioctyl sulfosuccinate","0.21786212","0.13666595","0.14987440","0.11530288","0.05290569","0.14054682","0.18569211","0.06312713","0.32969224","0.12646708","0.26061510","0.26281883","0.30907172","0.27432570","0.08302039"
"allantoin","1.6205952","1.5094229","1.5560709","1.8404456","3.4583082","1.6236956","1.5709212","0.9834192","1.3939710","1.4086056","1.2093717","1.9351516","1.2332042","1.2352951","3.1365630"
"d-pyroglutamic acid","12.34473","28.44898","21.49798","59.87172","70.67001","34.79860","68.08473","74.20257","81.42595","53.08452","36.21027","90.40703","81.45863","34.25093","44.38937"
"d-cycloserine","0.02533142","0.03884158","0.02839089","0.02520508","0.03559123","0.02639937","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.04072417"
"9s,11r,15s-trihydroxy-5z,13e,17z-prostatrienoic acid","4.166319","4.138849","4.167892","3.038644","2.699444","6.676108","2.632788","1.751999","4.955196","1.753830","1.828076","4.136834","1.350043","5.462380","3.082417"
"isobutyric acid","3.541834","3.778702","4.037764","3.940186","3.640779","4.131388","4.892018","4.604348","4.459644","4.737850","5.176274","4.902669","4.564253","3.597132","4.517833"
"2-aminoethyl dihydrogen phosphate","9.257606","9.340700","9.788658","8.836291","6.938294","7.872354","8.012157","4.993406","8.121623","6.985953","5.426072","8.622692","7.577794","8.426267","6.579395"
"uric acid","208.03895","250.50840","232.11865","235.61676","114.79863","222.67533","160.14880","103.37514","157.04246","100.43767"," 92.66206","142.95743"," 65.06359","130.27360","136.16321"
"adenosine 3'-monophosphate","1.2511961","1.8514683","1.0333559","1.4059109","0.2729526","1.4946227","0.5211889","0.2752278","0.3844156","0.1941255","0.1747873","0.2680047","0.1417877","0.3210578","0.4187204"
"phosphocreatine","3.7874312","1.5892507","1.9537387","1.0868870","1.6094912","1.3819651","2.3619485","1.6893105","1.3110660","0.8858917","1.0098027","2.6584935","1.8046971","2.4494244","1.3375996"
"ribulose 5-phosphate","0.00000000","0.00000000","0.00000000","0.00000000","0.20836678","0.00000000","0.00000000","0.00000000","0.00000000","0.03230081","0.03420072","0.04800381","0.12348297","0.04624258","0.08403990"
"n-acetyl-l-glutamic acid","0.1763861","0.1284477","0.1621097","0.1590497","0.1698960","0.1404173","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.2161630"
"xanthine"," 0.0000000"," 5.1178654"," 0.3291277"," 0.0000000","46.1976615"," 2.0659082","48.6036291","37.3876643","46.1803154","39.5903231","35.5878713","54.4398936","47.8809208","46.2522147","46.3893795"
"trigonelline"," 5.949308","11.727560"," 7.379241"," 3.987596","26.653484"," 5.554475","16.161573","14.366969","15.554729","10.290333","10.730194","24.669889","13.494774","14.782326","26.323229"
"phenylacetaldehyde","1.5731034","1.2636680","1.4815913","1.5916502","2.1999028","1.1902735","1.1258754","0.8045175","1.1020065","0.9713448","1.0229060","1.2403861","0.8678585","1.0306781","1.9561024"
"salicylaldehyde","1.0344751","0.7430783","0.8880786","0.8501798","1.9375982","0.6961227","0.7924288","0.6027720","0.7713320","0.7019015","0.8529329","0.8461974","0.5927248","0.5948819","1.6741773"
"niacinamide","296.2698","297.8317","309.2791","272.5871","333.1587","286.2146","346.5134","239.7720","347.2241","255.7707","235.6567","403.5712","300.7323","290.0604","309.2130"
"succinic acid"," 7.514296"," 8.556196"," 9.208151","11.647099"," 9.333410"," 8.043911"," 4.339422"," 3.263016"," 4.369181"," 7.277482"," 4.475692"," 4.964042"," 6.737874"," 5.581454"," 5.749848"
"cytidine 5'-diphosphocholine","0.02631044","0.05183807","0.05019056","0.15145526","0.04976939","0.08068094","0.02847930","0.00000000","0.02676356","0.05904358","0.00000000","0.00000000","0.14169376","0.13433689","0.03006943"
"dl-indole-3-lactic acid"," 4.190004"," 3.621658"," 3.984739"," 4.331259","11.896218"," 3.831013"," 4.165631"," 2.632899"," 3.153878"," 4.800905"," 5.016383"," 4.238791"," 3.641172"," 3.708656","10.507956"
"betaine aldehyde cation","4.335675","5.364169","5.514666","3.852682","6.224148","4.312446","5.666864","4.646588","5.864701","4.086501","3.953117","7.354031","5.010517","5.065094","6.510941"
"guanidineacetic acid","3.695165","4.495303","4.244814","3.834650","3.725305","3.489867","1.982806","1.500377","2.178987","2.434414","2.007017","2.581226","1.908302","3.087993","3.447015"
"n-acetyl-d-glucosamine","1.3142516","1.4869272","1.6782403","1.4826332","0.4825335","1.3450656","0.8424474","0.5448598","0.7853832","0.4651717","0.4455593","0.9263022","0.4989735","1.0769351","0.5839617"
"3-(2-hydroxyethyl)indole","0.13350820","0.12440182","0.14733966","0.15343815","0.47797362","0.13244102","0.14206089","0.08242372","0.10511333","0.15802830","0.16548102","0.14567865","0.10438820","0.11014501","0.41130752"
"4-guanidinobutanoic acid","1.6356869","1.3024953","1.4490009","1.7633565","2.4216100","1.6488805","1.3525028","1.0647053","1.4845208","1.5025910","1.3914043","2.4314318","1.2106318","0.9111654","1.5340203"
"his leu","0.2460423","0.2182113","0.2710581","0.2203817","0.3204832","0.2011876","0.4548791","0.2670283","0.3270410","0.5129087","0.4559309","0.3984679","0.4326356","0.2615317","0.4683267"
"3-methylindole","0.07346974","0.06431690","0.07946725","0.08608960","0.24594251","0.07358374","0.08566066","0.05155217","0.05797408","0.08992552","0.10132214","0.08250619","0.06795368","0.07575122","0.20541783"
"s-(5'-adenosyl)-l-homocysteine"," 6.583795"," 9.513552","10.303444"," 8.631885","10.807853"," 9.118837","12.113252"," 8.231285","10.828979"," 9.492814"," 9.006848","13.854640","10.826739"," 9.564484","12.470764"
"adenosine 5'-monophosphate","0.5060660","0.7644409","0.6096888","1.0983030","0.4145496","0.4867159","0.3647008","0.2441397","0.2816499","0.2667896","0.2946870","0.3987341","0.3113448","0.2897407","0.2979219"
"glyceraldehyde-3-phosphate","0.29632138","0.19828479","0.21860308","0.25038810","0.15521927","0.17144093","0.13459068","0.05499727","0.16181195","0.12400707","0.07032279","0.23055695","0.09740050","0.19552186","0.15487507"
"d-mannose 6-phosphate","15.762410","20.154710","18.867358","20.849575"," 7.117798","17.847917","15.454469"," 9.807480","14.294367","10.375618"," 7.864008","13.942400"," 7.656838","14.179473"," 9.815217"
"4-hydroxybenzenesulfonic acid","0.1518305","1.2184117","0.1355313","0.4030649","2.8297175","0.6141972","3.3174106","1.1041025","0.7534913","0.8171985","2.4035014","1.5812799","1.5587641","0.5716135","3.1790817"
"1,5-diaminonaphthalene","0.14139785","0.11329707","0.13750733","0.14549384","0.45900626","0.11672677","0.14631629","0.08502249","0.09831615","0.16029787","0.16771903","0.14325096","0.13638012","0.11352797","0.37428732"
"l-histidine","0.8774047","0.6218660","0.6517527","1.0397152","1.0936352","0.6355466","0.7796683","0.4329585","0.6794195","0.7015809","0.5456765","0.7393792","0.8614083","0.5030864","0.6837050"
"l-isoleucine","23.06807","17.12315","19.13293","22.17840","31.07699","16.83318","18.30722","13.28963","17.53661","15.31625","16.29466","20.69804","16.35970","15.68770","29.44565"
