"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"l-lysine","0.7682304","0.7411913","0.7472188","1.1576309","0.7615766","0.5246193","0.5512333","0.3088400","0.6681384","0.6913949","0.5031329","0.6334474","0.5056536","0.5491650","0.7309912"
"15-ketoprostaglandin e1","4.166319","4.138849","4.167892","3.038644","2.699444","6.676108","2.632788","1.751999","4.955196","1.753830","1.828076","4.136834","1.350043","5.462380","3.082417"
"linoleic acid","7.396691","2.631680","2.763063","7.595554","1.437977","2.956033","1.370520","2.886961","1.526321","1.206049","3.054139","1.583301","1.886030","1.972888","2.252528"
"creatine","1064.9205"," 927.0291"," 914.4293"," 824.3747"," 839.2775"," 833.1519"," 727.3073"," 521.6007"," 708.8286"," 651.6482"," 648.2594"," 802.9315"," 727.1753"," 768.9248"," 753.0485"
"n-methyl-l-glutamate"," 8.656458"," 8.364202"," 9.286121"," 7.796684","11.619576"," 6.679004","10.430235"," 8.596183"," 9.613205"," 6.674048"," 7.939102","12.193720"," 8.637562"," 9.876967","10.283265"
"galactonic acid","10.390275"," 9.962470"," 9.043359","10.868361","10.056807"," 9.161697"," 8.495335"," 7.746717"," 6.335790"," 9.377368"," 7.256091"," 9.162902"," 6.973059"," 7.812951"," 8.436790"
"3,4-dihydrocoumarin","0.1859054","0.1176269","0.1642311","0.1483166","0.2247588","0.1268405","0.1395990","0.0000000","0.1211160","0.0000000","0.0000000","0.1629942","0.0000000","0.1108202","0.1948340"
"l-tyrosine"," 5.804124"," 4.370228"," 5.508501"," 5.269110","11.129785"," 4.298249"," 4.815609"," 3.796029"," 4.582073"," 4.562890"," 5.319447"," 5.119198"," 3.568436"," 3.815917"," 9.756824"
"terephthalic acid"," 6.306959"," 6.361688"," 5.373551"," 6.165452"," 9.392129"," 6.055020"," 8.561963"," 6.921766"," 7.097134","14.918170"," 8.178482","11.266593"," 6.912077"," 3.630296"," 4.300259"
"6-ketoprostaglandin f1.alpha.","22.234863","23.548940","22.132747","17.205475","15.249500","32.831067","15.000554"," 7.758026","20.217267"," 8.223414"," 8.979404","22.511028"," 7.003562","24.369779","17.027984"
"d-mannosamine"," 8.656458"," 8.364202"," 9.286121"," 7.796684","11.619576"," 6.679004","10.430235"," 8.596183"," 9.613205"," 6.674048"," 7.939102","12.193720"," 8.637562"," 9.876967","10.283265"
"diacetyl","0.8394158","0.7168873","0.7175061","0.4883274","0.3195682","0.5799534","0.4655162","0.3097835","0.3781202","0.3505952","0.4085060","0.4660658","0.3964796","0.3782738","0.4638159"
"trioxsalen","1.9889804","2.1026670","2.3142713","3.2738266","1.2581835","2.3474044","1.4439727","0.9559305","0.9158895","0.7067168","0.9676831","2.1011760","1.0918570","2.0283271","1.4718522"
"20-hete","1.2788427","1.6961497","0.7511209","2.0091044","2.3521353","0.8900072","0.8375857","0.8404895","0.6702325","0.6200068","1.2993858","0.9743353","0.6212520","0.4578300","2.5549166"
"dl-ornithine","0.5165561","0.3986402","0.4091378","0.5092040","0.6330882","0.4899499","0.3636884","0.0000000","0.3369119","0.4836583","0.2367216","0.8478207","0.0000000","0.3015147","0.5740453"
"ectoine","0.3743332","1.2600539","0.5643429","0.3073238","4.1761462","0.3773593","1.0330886","1.0110721","1.0524986","0.7728325","1.0662439","1.5921255","0.8925551","1.1893346","3.8423500"
"d-glycerate 2-phosphate","12.814427","11.819266","13.236871"," 9.732722"," 4.886071","10.481044","10.797505"," 6.784175"," 9.360125"," 6.214628"," 6.650702","10.723626"," 7.307550"," 9.551294"," 9.278720"
"b-d-galactopyranose","0.7960351","0.9546936","0.9375014","0.6648457","1.2592057","0.7429832","1.1129062","1.0659350","1.2445334","0.7132620","0.9966457","1.3344019","0.9131102","1.0134016","1.4390225"
"s(-)-cathinone","0.07346974","0.06431690","0.07946725","0.08608960","0.24594251","0.07358374","0.08566066","0.05155217","0.05797408","0.08992552","0.10132214","0.08250619","0.06795368","0.07575122","0.20541783"
"2(5h)-furanone","7.030814","5.223314","7.213229","5.180140","6.031530","5.037827","7.194295","4.087910","6.215471","4.711723","4.282705","7.187878","4.954347","5.634400","6.351156"
"pimpinellin","22.75541","23.13534","24.68103","18.05098","16.67901","17.89991","28.07795","24.53300","23.16716","15.14735","15.07048","27.44158","18.72287","16.07442","23.41585"
"citraconic acid","4.9737060","5.8698347","5.6539831","5.9676501","0.7737404","5.5781120","0.9765276","0.6353263","0.9229217","0.7202834","0.7562505","0.9221956","0.7056485","2.2345549","0.8750526"
"guanosine","0.14669318","0.14482454","0.16865781","0.12831155","0.18146144","0.12880451","0.08763467","0.09483508","0.12801354","0.11126577","0.12859953","0.23317768","0.76422151","0.28986126","0.37499878"
"benzaldehyde","0.07502345","0.07511868","0.08343289","0.08660070","0.11458951","0.06971359","0.06883366","0.00000000","0.06016058","0.00000000","0.05814524","0.07047891","0.00000000","0.05984433","0.10368686"
"1,3,5-benzenetriol","4.862327","5.008221","5.196495","5.619078","1.855279","4.876005","3.978892","2.989929","4.175713","2.957908","2.203736","3.863184","2.147237","3.557317","2.144088"
"cyclohexylamine","1.1907574","0.8175672","1.1037948","0.8975722","0.9234051","0.9592813","1.4408904","0.6219466","1.3262976","1.2561544","1.0834637","1.6232204","0.7823190","1.0877567","1.3887194"
"p-coumaric acid","0.4117536","0.3069324","0.4036140","0.3581157","0.9034778","0.2898888","0.3151363","0.2527948","0.2924926","0.2920405","0.3861367","0.3516282","0.2385697","0.2646567","0.7703046"
"l-malic acid","62.73546","78.36258","72.98270","66.93147","55.67399","59.98498","62.63737","57.51423","65.12889","50.59177","47.95428","57.62417","54.31806","58.95560","57.97400"
"ng,ng-dimethyl-l-arginine","2.090924","2.143870","1.969542","2.089939","1.629728","1.384216","1.969516","1.858748","1.886796","1.503175","1.848723","1.510842","1.419926","1.174115","1.657706"
"mupirocin","0.93653599","0.00000000","0.00000000","0.00000000","0.00000000","2.59821691","0.00000000","0.00000000","1.69269039","0.06228762","0.00000000","0.00000000","0.00000000","0.94805245","0.00000000"
"fumaric acid","5.517747","6.718094","6.292288","6.216946","4.894692","5.558044","5.544613","5.040032","6.056630","4.348735","4.205078","5.058860","4.764050","5.171361","5.542736"
".gamma.-aminobutyric acid","2.710546","2.309902","2.266995","1.569876","1.335688","1.804716","1.590295","1.083285","1.435887","1.245981","1.511835","1.600643","1.572529","1.353957","1.588702"
"triethanolamine","8.364200","7.816658","8.396671","6.311188","6.251218","8.696315","6.996251","5.170179","6.527986","6.842453","5.300591","8.058030","7.494327","6.778172","6.236487"
"l-homoserine","13.250535","11.108967","11.697342","13.731560","22.332088","11.839170","10.642136"," 8.989137","11.486824","10.429205"," 9.415969","12.781969"," 8.190083"," 9.224705","20.652961"
"guvacine","1.7434840","0.7918056","1.3141464","1.1559788","0.8592456","1.3179352","1.5241485","0.5937560","1.6969208","1.3690993","0.9976198","1.7033749","0.7569650","1.2444289","1.4393110"
"fapy-adenine","5.816599","5.768341","7.393925","5.920807","5.834497","5.433628","7.420600","7.409776","7.195408","7.622608","7.614548","7.788125","7.296984","6.291221","6.833255"
"l-cysteine s-sulfate","1.4138676","1.1634223","0.9946943","2.0629395","2.0405176","0.5333959","0.5748283","0.5601961","0.6455551","0.6565293","0.9115880","1.2379936","0.3489774","0.4316609","1.2220600"
"l-valine","1.802749","2.389625","2.431619","1.657970","2.418192","1.554812","1.750714","1.961023","1.972209","1.533048","1.481137","2.143210","1.479196","1.357612","2.332434"
"12(r)-hete","1.2788427","1.6961497","0.7511209","2.0091044","2.3521353","0.8900072","0.8375857","0.8404895","0.6702325","0.6200068","1.2993858","0.9743353","0.6212520","0.4578300","2.5549166"
"sarcosine","28.40444","27.04957","28.31061","26.71789","33.74035","25.08170","26.63441","19.38347","28.27714","25.19790","21.70137","30.50041","24.30290","25.73529","28.37155"
"2,3-pyridinedicarboxylic acid","0.06829139","0.03716215","0.04432159","0.00000000","0.04535913","0.02952001","0.03731721","0.00000000","0.00000000","0.00000000","0.00000000","0.04566095","0.00000000","0.00000000","0.03149235"
"4-hydroxybutanoic acid lactone","0.8394158","0.7168873","0.7175061","0.4883274","0.3195682","0.5799534","0.4655162","0.3097835","0.3781202","0.3505952","0.4085060","0.4660658","0.3964796","0.3782738","0.4638159"
"choline cation","102.29456","111.03124","106.24918"," 91.24694"," 75.94976"," 89.92728"," 92.21023"," 72.66264"," 84.49827"," 65.57803"," 69.23727","106.82466"," 62.60992"," 87.91044"," 80.66917"
"tryptamine","0.08763580","0.05383478","0.07127704","0.09683754","0.10956845","0.07237851","0.06559064","0.04500795","0.06276960","0.05992601","0.05333917","0.08711002","0.06259147","0.05604664","0.10987727"
"l-citrulline","15.609892","17.254295","14.769411","25.628214","18.159767","12.956101","11.682097"," 7.833868","14.920109","13.629344"," 8.294856","12.240905","10.495778"," 6.083091","11.933544"
"benzyl alcohol","0.5056986","0.3860851","0.4861521","0.4846309","1.0000000","0.3883405","0.4545097","0.3305412","0.4219981","0.4475390","0.5020220","0.4940631","0.3580245","0.3731090","0.9154442"
"l-asparagine","2.671186","2.947675","2.929472","3.351094","3.836337","3.153633","3.240306","2.482390","3.300107","3.437824","2.681205","3.183186","2.419823","2.785309","4.013980"
"n-methyl-2-pyrrolidinone","3.247914","2.686786","2.062912","3.557697","6.072324","3.295617","2.582448","1.407065","3.835098","3.196266","2.215251","4.439715","1.994175","1.347135","2.035152"
"2-methylbenzoic acid","0.03772005","0.06388750","0.07817035","0.08822943","0.09169804","0.06277138","0.00000000","0.00000000","0.09993755","0.05223171","0.00000000","0.09822472","0.09768544","0.07329418","0.07876143"
".beta.-l-fucose 1-phosphate","0.1836333","0.1755171","0.2204928","0.1958722","0.2013961","0.1776892","0.2130801","0.1245815","0.2125505","0.1479533","0.1317928","0.2353246","0.1706322","0.2314854","0.1768080"
"4-hydroxy-3-methoxybenzyl alcohol","0.03772005","0.06388750","0.07817035","0.08822943","0.09169804","0.06277138","0.00000000","0.00000000","0.09993755","0.05223171","0.00000000","0.09822472","0.09768544","0.07329418","0.07876143"
"hypotaurine","0.3381771","0.7311362","0.7028427","0.7086582","1.1893620","0.3318914","0.8647142","0.3532381","0.4147124","0.5999267","0.2495566","0.9132834","0.4441858","0.4081032","1.0000000"
"4-pyridinecarboxylic acid","2.329717","1.854682","1.859590","1.679502","1.418110","2.171913","1.868700","2.055490","2.110548","2.749680","3.320725","2.201258","2.293095","2.212032","6.094406"
"betaine","472.9521","602.8254","566.4783","445.9587","526.3602","414.7208","465.3961","367.9485","516.0853","350.8470","323.5120","517.7755","373.0735","298.0643","491.6017"
"1-methylnicotinamide cation","2.189858","2.533236","2.560186","2.174771","1.512792","2.500094","1.814954","1.475012","2.686737","1.519243","1.318530","2.602037","2.085572","2.650859","1.496411"
"inosine","0.11006299","0.13366731","0.10277958","0.08876174","0.62432749","0.07167295","0.23599547","0.14226755","0.20732717","0.22763250","0.18624297","0.44028846","0.68211108","0.25875638","0.45056232"
"butanoic acid, 2-amino-, (s)-","2.113027","1.101410","1.475100","2.255807","0.000000","1.491400","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"(.+/-.)-propionylcarnitine"," 6.292962"," 7.527093"," 7.399321"," 6.692653"," 8.329132"," 6.568137"," 7.137440"," 5.874418"," 7.809140"," 7.391804"," 8.395395"," 8.339844"," 6.258710"," 6.952586","10.319261"
"3-phosphoglyceric acid","12.814427","11.819266","13.236871"," 9.732722"," 4.886071","10.481044","10.797505"," 6.784175"," 9.360125"," 6.214628"," 6.650702","10.723626"," 7.307550"," 9.551294"," 9.278720"
"itaconic acid","4.9737060","5.8698347","5.6539831","5.9676501","0.7737404","5.5781120","0.9765276","0.6353263","0.9229217","0.7202834","0.7562505","0.9221956","0.7056485","2.2345549","0.8750526"
"l-homocysteic acid","0.16681547","0.18852310","0.20797807","0.14918818","0.53796215","0.16193558","0.24043981","0.08867669","0.21176620","0.13724989","0.14514575","0.48558964","0.31990299","0.24340649","0.30435920"
"4-nitrobenzoic acid","0.7426363","0.9608626","0.6825103","0.7776821","0.5606492","0.4834356","0.5736326","0.5175803","0.4202104","0.3699707","0.5128524","0.6704242","0.6962484","0.7118266","0.7441274"
"crotonic acid","0.8394158","0.7168873","0.7175061","0.4883274","0.3195682","0.5799534","0.4655162","0.3097835","0.3781202","0.3505952","0.4085060","0.4660658","0.3964796","0.3782738","0.4638159"
"tauroursodeoxycholic acid","3.67383179","0.00000000","0.00000000","0.00000000","0.00000000","9.93009209","0.00000000","0.00000000","6.89539764","0.22552482","0.00000000","0.00000000","0.00000000","4.25348302","0.04627891"
"6-aminocaproic acid","8.364200","7.816658","8.396671","6.311188","6.251218","8.696315","6.996251","5.170179","6.527986","6.842453","5.300591","8.058030","7.494327","6.778172","6.236487"
"pantothenic acid","7.824178","5.968601","6.618740","7.014654","4.880537","5.269527","3.159366","3.419761","2.841723","2.971237","3.971072","4.040440","3.348696","4.398420","4.919948"
"7-methylxanthine","0.17426384","0.12011260","0.16420612","0.12395341","0.25225749","0.12329654","0.05336308","0.03251446","0.06398697","0.05585984","0.03990844","0.08980972","0.05175697","0.07870257","0.21105814"
"dimethylformamide","3.303630","3.027443","3.002576","3.349376","2.663075","2.934321","2.283160","1.343152","2.621107","2.008129","1.691869","3.375447","1.859453","2.395133","2.392396"
"l-2-hydroxyglutaric acid","3.919199","4.055450","4.377449","4.422841","3.693314","3.978468","4.488747","2.965315","4.054016","3.308050","3.572323","4.043777","3.323675","3.747978","4.007110"
"trans-4-hydroxy-l-proline","4.877938","7.404991","6.367246","5.242987","6.792553","4.561308","5.116648","4.631563","6.493936","4.702257","3.983639","6.257858","4.324151","4.598605","7.233478"
"4-aminobenzoic acid","0.6198029","0.6352513","0.6460132","0.6440432","0.2476752","0.5608872","0.3314613","0.2544053","0.2921097","0.1837966","0.2333243","0.3620293","0.2256758","0.3995843","0.2712777"
"trimethylamine n-oxide","0.0000000","0.3049524","0.2547617","0.1078485","1.2453043","0.1117162","0.2420331","0.0000000","0.2501515","0.1619421","0.0000000","0.7618339","0.1948690","0.2376027","0.5914258"
"hordenine","0.10927895","0.10582313","0.11882384","0.12533826","0.18036199","0.10544713","0.08669843","0.07352967","0.09883109","0.09366792","0.08252718","0.10988931","0.08458430","0.08834508","0.17095985"
"n-acetyl-l-histidine","0.2717966","0.1681815","0.2134655","0.3367195","0.3095036","0.2992646","0.1465955","0.1072962","0.1315838","0.1386148","0.1439838","0.1867796","0.1453981","0.1276722","0.2420395"
"trans-cinnamic acid","0.14873743","0.10353062","0.12659159","0.15316458","0.19712298","0.08959640","0.09782337","0.07848326","0.09380583","0.08462775","0.08579832","0.09924552","0.09162058","0.08868265","0.16949293"
"guanine","0.1693379","0.2090866","0.2203724","0.2292570","0.2441624","0.0000000","0.0000000","0.0000000","0.6877668","0.0000000","0.0000000","0.3003222","0.0000000","0.0000000","0.0000000"
"dl-phenylalanine","15.031934","11.266886","13.639947","14.609242","20.355247","11.638112","10.691422"," 8.351209","10.511122","10.105479"," 9.903189","12.116301"," 9.051498"," 9.837025","19.256684"
"2-amino-1-phenylethanol","15.537526","11.854698","13.650120","14.682910","21.033679","12.131821","10.982216"," 8.824909","10.991599","10.301433","10.710194","12.298807"," 9.503850","10.205208","19.412975"
"1,5-pentanediamine"," 9.777984"," 7.095463"," 8.144791"," 9.326794","13.203750"," 7.588959"," 7.910044"," 5.907562"," 7.591868"," 6.408128"," 7.079868"," 8.655484"," 7.124684"," 6.642564","12.811496"
"1h-1,2,4-triazol-3-amine","0.03691138","0.00000000","0.00000000","0.04385916","0.04209568","0.00000000","0.06594315","0.04073891","0.05141456","0.06517299","0.05131852","0.04585692","0.05329828","0.03602378","0.03689062"
"maltol","2.5118950","2.7494883","2.8456285","2.9672896","0.8179028","2.4202409","2.0068075","1.5794080","1.9304306","1.3327323","1.0000000","2.0029600","0.8395482","1.6743440","1.1040243"
".alpha.-d-galactose 1-phosphate","15.762410","20.154710","18.867358","20.849575"," 7.117798","17.847917","15.454469"," 9.807480","14.294367","10.375618"," 7.864008","13.942400"," 7.656838","14.179473"," 9.815217"
"4-methylcatechol","0.07502345","0.07511868","0.08343289","0.08660070","0.11458951","0.06971359","0.06883366","0.00000000","0.06016058","0.00000000","0.05814524","0.07047891","0.00000000","0.05984433","0.10368686"
"3-pyridinecarboxamide, 1,6-dihydro-1-methyl-6-oxo-","10.891513"," 9.003874"," 9.356215","13.411119"," 6.381516"," 8.980443"," 5.606820"," 3.616933"," 5.382222"," 4.682926"," 3.944675"," 7.433870"," 4.650844"," 6.297080"," 4.291135"
"phenol, 4-(2-aminoethyl)-","0.04510479","0.04581693","0.05752677","0.05746588","0.11264990","0.04545633","0.00000000","0.00000000","0.04784168","0.00000000","0.05125948","0.05391216","0.00000000","0.00000000","0.09789741"
"sedoheptulose 7-phosphate","0.9668200","1.1158878","0.9216207","1.1398908","2.7218593","0.9834599","2.4288081","1.1003413","2.1295399","1.9922708","1.6265373","3.1598192","2.3083658","1.6481798","2.1930199"
"glycine"," 6.508065"," 6.822653"," 7.446964"," 5.995786"," 8.660811"," 6.349611"," 8.408168"," 5.115170"," 8.352159"," 6.889875"," 5.615581","10.048858"," 7.660750"," 6.511031"," 7.928268"
