taxa	LA-MOC-Lung-1_S1_L001	LA-MOC-Lung-1_S1_L002	LA-MOC-Lung-2_S2_L001	LA-MOC-Lung-2_S2_L002	LA-MOC-Lung-3_S3_L001	LA-MOC-Lung-3_S3_L002	LA-MOC-Lung-4_S4_L001	LA-MOC-Lung-4_S4_L002	LA-MOC-Lung-5_S5_L001	LA-MOC-Lung-5_S5_L002	LA-MOC-Tongue-1_S16_L001	LA-MOC-Tongue-1_S16_L002	LA-MOC-Tongue-2_S17_L001	LA-MOC-Tongue-2_S17_L002	LA-MOC-Tongue-3_S18_L001	LA-MOC-Tongue-3_S18_L002	LA-MOC-Tongue-4_S19_L001	LA-MOC-Tongue-4_S19_L002	LA-MOC-Tongue-5_S20_L001	LA-MOC-Tongue-5_S20_L002	PBS-Lung-1_S6_L001	PBS-Lung-1_S6_L002	PBS-Lung-2_S7_L001	PBS-Lung-2_S7_L002	PBS-Lung-3_S8_L001	PBS-Lung-3_S8_L002	PBS-Lung-4_S9_L001	PBS-Lung-4_S9_L002	PBS-Lung-5_S10_L001	PBS-Lung-5_S10_L002	PBS-Tongue-1_S21_L001	PBS-Tongue-1_S21_L002	PBS-Tongue-2_S22_L001	PBS-Tongue-2_S22_L002	PBS-Tongue-3_S23_L001	PBS-Tongue-3_S23_L002	PBS-Tongue-4_S24_L001	PBS-Tongue-4_S24_L002	PBS-Tongue-5_S25_L001	PBS-Tongue-5_S25_L002	pm-1-24hr_S35_L001	pm-1-24hr_S35_L002	pm-2-24hr_S36_L001	pm-2-24hr_S36_L002	pm-over-s-24hr_S51_L001	pm-over-s-24hr_S51_L002	pm-over-vp-24hr_S46_L001	pm-over-vp-24hr_S46_L002	pm-split-s-24hr_S48_L001	pm-split-s-24hr_S48_L002	pm-split-vp-24hr_S43_L001	pm-split-vp-24hr_S43_L002	s-1-24hr_S31_L001	s-1-24hr_S31_L002	s-2-24hr_S32_L001	s-2-24hr_S32_L002	s-mid-over-pm-24hr_S50_L001	s-mid-over-pm-24hr_S50_L002	s-over-pm-24hr_S49_L001	s-over-pm-24hr_S49_L002	s-over-vp-24hr_S41_L001	s-over-vp-24hr_S41_L002	s-split-pm-24hr_S47_L001	s-split-pm-24hr_S47_L002	s-split-vp-24hr_S38_L001	s-split-vp-24hr_S38_L002	UA-MOC-Lung-1_S11_L001	UA-MOC-Lung-1_S11_L002	UA-MOC-Lung-2_S12_L001	UA-MOC-Lung-2_S12_L002	UA-MOC-Lung-3_S13_L001	UA-MOC-Lung-3_S13_L002	UA-MOC-Lung-4_S14_L001	UA-MOC-Lung-4_S14_L002	UA-MOC-Lung-5_S15_L001	UA-MOC-Lung-5_S15_L002	UA-MOC-Tongue-1_S26_L001	UA-MOC-Tongue-1_S26_L002	UA-MOC-Tongue-2_S27_L001	UA-MOC-Tongue-2_S27_L002	UA-MOC-Tongue-3_S28_L001	UA-MOC-Tongue-3_S28_L002	UA-MOC-Tongue-4_S29_L001	UA-MOC-Tongue-4_S29_L002	UA-MOC-Tongue-5_S30_L001	UA-MOC-Tongue-5_S30_L002	vp-1-24hr_S33_L001	vp-1-24hr_S33_L002	vp-2-24hr_S34_L001	vp-2-24hr_S34_L002	vp-mid-over-pm-24hr_S45_L001	vp-mid-over-pm-24hr_S45_L002	vp-mid-over-s-24hr_S40_L001	vp-mid-over-s-24hr_S40_L002	vp-over-pm-24hr_S44_L001	vp-over-pm-24hr_S44_L002	vp-over-s-24hr_S39_L001	vp-over-s-24hr_S39_L002	vp-split-pm-24hr_S42_L001	vp-split-pm-24hr_S42_L002	vp-split-s-24hr_S37_L001	vp-split-s-24hr_S37_L002
Entomoplasma freundtii	22	25	5	8	13	2	15	21	8	5	12	17	21	36	12	10	21	7	7	14	11	14	18	9	7	13	24	37	41	31	25	13	15	19	15	5	8	12	9	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	16	28	30	28	24	11	16	11	17	17	29	26	24	14	19	17	11	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahniella affigens	1	1	0	0	3	1	0	0	0	1	0	1	1	4	0	4	5	6	1	3	0	0	1	1	0	0	1	1	0	1	3	2	2	5	5	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	3	3	0	1	0	0	1	4	2	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus velezensis	52	40	8	4	88	59	5	13	16	16	52	50	57	59	76	94	61	54	56	41	8	9	8	16	1	10	68	50	49	76	81	102	69	56	53	40	28	24	21	30	5	10	11	8	34	46	100	29	55	35	5	4	137	134	240	182	78	71	98	118	357	352	35	43	192	191	16	38	27	27	11	21	6	15	12	14	69	114	49	90	49	42	22	47	30	33	32	19	152	174	17	26	502	420	41	78	364	332	25	23	38	40
Mycobacterium sp. MS1601	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Limosilactobacillus pontis	41	39	7	7	26	20	14	26	29	36	184	217	347	366	197	199	473	443	350	316	41	34	37	26	20	33	76	78	233	210	219	200	421	409	133	124	152	164	264	257	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	101	51	57	44	21	35	35	38	31	474	468	209	200	371	395	171	184	151	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermococcus gorgonarius	4	2	0	2	0	1	1	0	2	4	5	8	6	12	30	33	8	4	18	16	4	0	1	1	1	0	5	6	4	5	15	19	11	14	21	10	0	9	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	3	2	4	6	1	3	0	1	14	16	14	8	21	40	6	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquihabitans sp. G128	2	1	0	0	0	1	0	0	3	2	1	1	1	3	1	0	0	1	0	0	3	0	2	1	0	1	1	0	2	3	0	0	1	1	0	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	2	0	1	5	2	1	1	5	1	1	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Calothrix sp. PCC 7716	1	0	0	1	0	1	0	1	0	0	0	0	19	0	23	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	16	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. MA3_2.13	3	3	0	2	6	1	3	1	0	11	1	2	0	5	3	2	0	5	3	4	2	1	0	3	3	2	11	5	9	4	4	2	3	7	0	6	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	6	8	6	12	4	5	7	4	6	11	2	2	3	2	5	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paralysiella testudinis	5	4	1	0	1	2	11	6	1	6	3	0	3	5	1	1	3	1	0	1	1	2	6	2	0	8	12	13	10	11	1	2	2	5	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	10	6	4	9	5	6	7	9	1	1	0	2	3	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
