"","sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map05214..Glioma","map05214..Glioma"," 6466"," 1395"," 3858"," 4725"," 6406"," 3649"," 6008"," 4495","16032","13395"," 9539","10773"," 6963"," 7748"," 6137"
"map05215..Prostate.cancer","map05215..Prostate.cancer"," 7498"," 1853"," 4411"," 5607"," 7648"," 4198"," 6926"," 5583","19129","16613","11223","12271"," 8302"," 9515"," 8232"
"map05216..Thyroid.cancer","map05216..Thyroid.cancer","1058"," 319"," 936"," 807","1256"," 830","1363"," 995","3575","2951","2154","2366","1328","1797","1411"
"map05217..Basal.cell.carcinoma","map05217..Basal.cell.carcinoma","306"," 68","181","218","335","197","289","183","833","742","597","607","323","423","370"
"map05218..Melanoma","map05218..Melanoma","1063"," 320"," 943"," 812","1260"," 831","1369"," 997","3596","2974","2163","2390","1334","1807","1420"
"map05219..Bladder.cancer","map05219..Bladder.cancer","1049"," 315"," 939"," 804","1257"," 821","1363"," 995","3559","2938","2152","2366","1319","1797","1413"
"map05220..Chronic.myeloid.leukemia","map05220..Chronic.myeloid.leukemia","1393"," 388","1131","1016","1582","1032","1668","1214","4453","3679","2698","2995","1685","2271","1774"
"map05221..Acute.myeloid.leukemia","map05221..Acute.myeloid.leukemia","1443"," 408","1150","1074","1605","1007","1660","1210","4394","3720","2693","2951","1762","2229","1732"
"map05222..Small.cell.lung.cancer","map05222..Small.cell.lung.cancer","143"," 36","104","139","176","101","182","125","414","329","269","271","177","198","172"
"map05223..Non.small.cell.lung.cancer","map05223..Non.small.cell.lung.cancer","1587"," 440","1296","1199","1825","1127","1891","1348","5068","4220","3124","3371","1915","2531","1983"
"map05224..Breast.cancer","map05224..Breast.cancer","1754"," 477","1338","1297","1944","1205","1955","1395","5248","4486","3299","3582","2091","2662","2111"
