"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map00380..Tryptophan.metabolism"," 6998"," 1989"," 6751"," 5161"," 9832"," 6271"," 9339"," 7375","25235","22191","15538","18337"," 7191","14205","10298"
"map00400..Phenylalanine..tyrosine.and.tryptophan.biosynthesis","352"," 73","277","270","296","170","260","317","795","677","511","578","444","413","311"
"map00401..Novobiocin.biosynthesis","16"," 1","17"," 8","20"," 8","20","12","56","20","22","37","19","23","10"
"map00404..Staurosporine.biosynthesis","0","0","0","0","0","1","0","0","0","2","0","1","0","0","0"
"map00405..Phenazine.biosynthesis","3","0","1","2","1","0","0","1","6","3","0","3","1","0","0"
"map00410..beta.Alanine.metabolism"," 6153"," 1793"," 6178"," 4492"," 8787"," 5911"," 8839"," 6807","24135","21926","14862","17865"," 6577","13850","10137"
"map00430..Taurine.and.hypotaurine.metabolism"," 52"," 24"," 44"," 41"," 74"," 51"," 58"," 41","147","143"," 89","102"," 66"," 72"," 51"
"map00440..Phosphonate.and.phosphinate.metabolism","170"," 34"," 58","112","171"," 83","178","109","405","320","242","302","157","239","168"
"map00450..Selenocompound.metabolism"," 410","  89"," 211"," 301"," 386"," 217"," 341"," 259","1052"," 970"," 683"," 771"," 435"," 530"," 408"
"map00460..Cyanoamino.acid.metabolism","120"," 31","123","118","136"," 57"," 90","103","306","309","223","212","207","166","119"
"map00480..Glutathione.metabolism"," 6685"," 1825"," 5018"," 4954"," 8123"," 3851"," 5663"," 4529","16675","12274"," 9219"," 9678"," 7167"," 7302"," 5452"
"map00500..Starch.and.sucrose.metabolism","3469"," 901","2864","2463","3590","1926","3069","2671","8502","7065","5455","6049","3752","4352","3296"
"map00510..N.Glycan.biosynthesis","2029"," 357"," 943","1369","1875"," 978","1774","1179","5110","4272","2924","3889","2135","2647","2104"
"map00511..Other.glycan.degradation"," 486"," 127"," 389"," 369"," 551"," 271"," 450"," 349","1301","1072"," 939"," 945"," 587"," 727"," 531"
"map00513..Various.types.of.N.glycan.biosynthesis","1481"," 271"," 689","1047","1375"," 740","1314"," 899","3716","3111","2124","2887","1588","1975","1541"
"map00514..Other.types.of.O.glycan.biosynthesis","22"," 8","22","19","44","23","39","28","97","78","65","82","49","65","49"
"map00515..Mannose.type.O.glycan.biosynthesis","18"," 5","12","12","28","15","28","18","57","52","39","49","34","35","30"
"map00520..Amino.sugar.and.nucleotide.sugar.metabolism"," 4108"," 1099"," 3254"," 3098"," 4401"," 2222"," 3543"," 2716","10066"," 7903"," 6046"," 6347"," 4663"," 4616"," 3635"
"map00521..Streptomycin.biosynthesis"," 573"," 134"," 355"," 400"," 652"," 278"," 485"," 383","1327","1089"," 786"," 844"," 599"," 635"," 531"
"map00522..Biosynthesis.of.12...14..and.16.membered.macrolides","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"map00523..Polyketide.sugar.unit.biosynthesis"," 53"," 14"," 57"," 36"," 62"," 29"," 55"," 35","136","109"," 73"," 88"," 63"," 67"," 51"
"map00524..Neomycin..kanamycin.and.gentamicin.biosynthesis","141"," 32"," 69","124","190"," 54"," 98"," 66","278","167","139","175","127","105"," 90"
