"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL","UA","BAL","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","UA","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL"
"map01110.Biosynthesis.of.secondary.metabolites","     8689","   547799","     3516","      647","     4831","   186584","     1738","     5929","   543330","   205238","    20179","    10049","     3982","     1116","     3953","     2093","     1517","     4258","     2833","      718","      655","     6442","      594","     5819","     3414","  3186828","     4223","    22862","  1997861","     1638","  2366364","     1039","  2746288","     2916","  2743400","      965","      304","    11152","    73348","    13000","     2880","     1355","     1751","   121196","     3453","     7608","    14661","     2495","     5134","     2177","    13065","   123848","     8863","     4729","     8415","      758","    96189","     1943","   522690","     1276"," 71856916","      864","     1859","505683894","     2278","     2644"," 62953241","     1370","  1754291","      337"
"map01120.Microbial.metabolism.in.diverse.environments","     5952","   328159","     2141","      419","     3433","   131976","     1237","     3547","   304131","   109298","    12850","     7223","     2908","      782","     2793","     1506","     1098","     3130","     1938","      544","      485","     3549","      416","     3968","     1985","  1721360","     2818","    13878","  1142815","     1112","  1384997","      706","  1598302","     1871","  1524547","      681","      224","     6271","    50947","     8618","     1956","     1038","     1223","    81051","     2324","     5526","     9661","     1766","     3647","     1557","     9880","    82152","     4632","     3575","     4833","      489","    49823","     1311","   321941","      810"," 38813480","      662","     1207","288262270","     1541","     1817"," 35049136","      900","  1157135","      279"
"map01220.Degradation.of.aromatic.compounds","    254","   9138","     46","      6","    148","   4640","     48","     67","   7700","   3188","    762","    270","     97","     31","     81","     88","     53","    111","     75","     12","     16","    196","     19","    110","     58"," 103181","     83","    365","  26010","     27","  30871","     18","  41096","     48","  24189","     26","      7","    236","   1823","    307","     68","     55","     43","   2857","     54","    204","    355","     83","    129","     81","    529","   2280","    105","    129","    214","     19","   1040","     51","   9408","     22"," 757904","     24","     28","4058781","     61","     66"," 571915","     25","  38508","     18"
"map00040.Pentose.and.glucuronate.interconversions","    337","  14334","    116","     31","    170","   6629","     85","    161","  11885","   3883","    525","    319","    142","     63","    172","     84","     61","    153","     49","      6","     19","    128","      6","    200","     98","  72667","    102","    471","  41762","     45","  46164","     27","  54535","     83","  45856","     40","     24","    297","   2521","    438","     98","     42","     72","   4401","     82","    258","    405","     89","    222","     64","    320","   3155","    233","    165","    240","     25","   2021","     54","  20402","     26","1021905","     11","     61","8740714","     79","     87"," 861604","     52","  46618","      4"
"map00053.Ascorbate.and.aldarate.metabolism","    222","   8475","     86","     15","    136","   4850","     44","     63","   8037","   2623","    402","    288","    130","     29","     82","     46","     31","    122","     80","     15","     23","    112","     14","    123","     56","  14578","     98","    337","  29710","     24","  41252","     18","  35622","     61","  40957","     21","     18","    284","   1859","    297","     76","     36","     40","   3240","     83","    201","    341","     64","    151","     49","    292","   2631","    160","    100","    151","     21","   1528","     40","  10411","     41"," 816734","     24","     37","7979632","     80","     63"," 485839","     34","  38126","     13"
"map00561.Glycerolipid.metabolism","     367","   19307","     110","      25","     144","    5909","      31","     197","   21012","    8573","     638","     291","     109","      46","     147","      67","      38","     110","      79","      17","      26","     284","      28","     200","     125","  214947","     108","     660","   57463","      41","   80749","      22","   89124","      77","   91330","      26","      16","     511","    2574","     514","      92","      29","      41","    3394","     103","     204","     518","      77","     195","      71","     434","    2999","     120","      93","     325","      21","    3159","      49","   21539","      47"," 2649934","      27","      56","17052745","      70","      62"," 2016733","      37","   47679","       7"
"map00930.Caprolactam.degradation","  100"," 2137","   18","    7","   84"," 1975","   19","   15","  842","  170","  245","  132","   29","    9","   49","   35","   37","   53","   35","    4","   13","   37","    5","   64","    8","  652","   46","  112"," 7787","    8"," 6369","   15"," 5496","   20"," 1798","   12","    1","   21","  638","   72","   38","   21","   17"," 1150","   30","   82","  124","   28","   44","   27","  198","  933","   26","   51","   44","    7","   54","   24"," 1558","    9","57437","   10","   18","59964","   29","   26","40054","   11","14078","    5"
"map01240.Biosynthesis.of.cofactors","     3254","   209295","     1296","      244","     1641","    65940","      617","     2198","   209780","    77974","     7276","     3324","     1406","      377","     1491","      692","      564","     1394","      967","      269","      231","     2274","      221","     1926","     1196","  1248736","     1489","     8475","   757565","      534","   931365","      372","  1079405","      994","  1053056","      269","       96","     4106","    26117","     4748","      940","      504","      635","    45481","     1311","     2659","     5265","      811","     1842","      858","     4638","    41588","     3875","     1510","     3125","      286","    38457","      686","   189657","      481"," 28654463","      331","      574","207277749","      976","      883"," 24899232","      424","   596535","      109"
"map00260.Glycine..serine.and.threonine.metabolism.","     932","   57066","     381","      76","     515","   21113","     192","     644","   55996","   20678","    2344","    1168","     442","     132","     418","     243","     152","     474","     293","     115","      84","     665","      62","     704","     326","  307118","     503","    2474","  220217","     213","  243639","     117","  294141","     346","  275818","      89","      24","    1103","    8348","    1404","     369","     147","     213","   13210","     373","     950","    1592","     255","     565","     304","    1521","   14467","     973","     552","     899","      68","    9113","     235","   55654","     149"," 7102809","      99","     207","49415314","     271","     309"," 6472316","     171","  200566","      38"
"map00270.Cysteine.and.methionine.metabolism","     689","   65115","     407","      54","     560","   22623","     192","     762","   71505","   27145","    2424","    1242","     469","     140","     374","     237","     159","     577","     485","     154","      80","     914","      89","     792","     451","  486125","     639","    3123","  269908","     256","  328307","     133","  359193","     471","  357997","      99","      21","    1381","    9024","    1388","     354","     167","     227","   13934","     414","     890","    1952","     302","     592","     251","    1512","   20439","     768","     623","    1015","     115","   11558","     308","   70058","     217"," 9521302","     141","     273","67097665","     350","     415"," 7890886","     207","  262948","      37"
