"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BKG","BAL","BAL","UA","BKG","BAL","UA","BKG","BAL","UA","BKG","BAL","UA","BKG","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BKG","BAL","UA","BKG","BAL","BAL","UA","BKG","BAL","BAL","UA","BKG","BAL","UA","BKG","BAL"
"map01100.Metabolic.pathways","     18684","   1180785","      7545","      1410","     10493","    398827","      3824","     12642","   1163265","    441839","     44677","     21733","      9001","      2496","      8498","      4468","      3374","      9360","      6154","      1603","      1458","     13556","      1270","     12369","      7324","   7024962","      8451","      8628","     48371","   4231329","    511182","      3454","   5062510","   1096020","      2254","   5864877","    545515","      6170","   5807062","    250611","      2026","       679","     24190","    159106","     27183","      6045","      3014","      3873","    253329","      7727","     16550","     31725","      5256","     11486","      4789","     29194","    257456","     16727","      9983","     18204","      1621","    196453","      4044","   1127055","    340780","      2753"," 150525862","    518573","      1901","      3870","1090289513","   1238748","      5131","      5460"," 132061594","    488843","      2778","   3668541","   2994845","       782"
"map01110.Biosynthesis.of.secondary.metabolites","     8689","   547799","     3516","      647","     4831","   186584","     1738","     5929","   543330","   205238","    20179","    10049","     3982","     1116","     3953","     2093","     1517","     4258","     2833","      718","      655","     6442","      594","     5819","     3414","  3186828","     3896","     4223","    22862","  1997861","   243339","     1638","  2366364","   531653","     1039","  2746288","   262679","     2916","  2743400","   115611","      965","      304","    11152","    73348","    13000","     2880","     1355","     1751","   121196","     3453","     7608","    14661","     2495","     5134","     2177","    13065","   123848","     8863","     4729","     8415","      758","    96189","     1943","   522690","   165503","     1276"," 71856916","   250989","      864","     1859","505683894","   598154","     2278","     2644"," 62953241","   235319","     1370","  1754291","  1447733","      337"
"map01120.Microbial.metabolism.in.diverse.environments","     5952","   328159","     2141","      419","     3433","   131976","     1237","     3547","   304131","   109298","    12850","     7223","     2908","      782","     2793","     1506","     1098","     3130","     1938","      544","      485","     3549","      416","     3968","     1985","  1721360","     2755","     2818","    13878","  1142815","   170480","     1112","  1384997","   355818","      706","  1598302","   178643","     1871","  1524547","    76381","      681","      224","     6271","    50947","     8618","     1956","     1038","     1223","    81051","     2324","     5526","     9661","     1766","     3647","     1557","     9880","    82152","     4632","     3575","     4833","      489","    49823","     1311","   321941","   111696","      810"," 38813480","   168633","      662","     1207","288262270","   405414","     1541","     1817"," 35049136","   160924","      900","  1157135","   986916","      279"
"map01220.Degradation.of.aromatic.compounds","    254","   9138","     46","      6","    148","   4640","     48","     67","   7700","   3188","    762","    270","     97","     31","     81","     88","     53","    111","     75","     12","     16","    196","     19","    110","     58"," 103181","    115","     83","    365","  26010","   7077","     27","  30871","   9896","     18","  41096","   6015","     48","  24189","   2266","     26","      7","    236","   1823","    307","     68","     55","     43","   2857","     54","    204","    355","     83","    129","     81","    529","   2280","    105","    129","    214","     19","   1040","     51","   9408","   3509","     22"," 757904","   4765","     24","     28","4058781","  12128","     61","     66"," 571915","   5660","     25","  38508","  31002","     18"
"map00040.Pentose.and.glucuronate.interconversions","    337","  14334","    116","     31","    170","   6629","     85","    161","  11885","   3883","    525","    319","    142","     63","    172","     84","     61","    153","     49","      6","     19","    128","      6","    200","     98","  72667","    109","    102","    471","  41762","   6879","     45","  46164","  13736","     27","  54535","   7142","     83","  45856","   2781","     40","     24","    297","   2521","    438","     98","     42","     72","   4401","     82","    258","    405","     89","    222","     64","    320","   3155","    233","    165","    240","     25","   2021","     54","  20402","   4744","     26","1021905","   6554","     11","     61","8740714","  16041","     79","     87"," 861604","   6239","     52","  46618","  39083","      4"
"map00053.Ascorbate.and.aldarate.metabolism","    222","   8475","     86","     15","    136","   4850","     44","     63","   8037","   2623","    402","    288","    130","     29","     82","     46","     31","    122","     80","     15","     23","    112","     14","    123","     56","  14578","     82","     98","    337","  29710","   5817","     24","  41252","  12083","     18","  35622","   6284","     61","  40957","   2713","     21","     18","    284","   1859","    297","     76","     36","     40","   3240","     83","    201","    341","     64","    151","     49","    292","   2631","    160","    100","    151","     21","   1528","     40","  10411","   4084","     41"," 816734","   5572","     24","     37","7979632","  13847","     80","     63"," 485839","   5433","     34","  38126","  34185","     13"
"map00561.Glycerolipid.metabolism","     367","   19307","     110","      25","     144","    5909","      31","     197","   21012","    8573","     638","     291","     109","      46","     147","      67","      38","     110","      79","      17","      26","     284","      28","     200","     125","  214947","     130","     108","     660","   57463","    7205","      41","   80749","   11989","      22","   89124","    6573","      77","   91330","    3183","      26","      16","     511","    2574","     514","      92","      29","      41","    3394","     103","     204","     518","      77","     195","      71","     434","    2999","     120","      93","     325","      21","    3159","      49","   21539","    4140","      47"," 2649934","    5842","      27","      56","17052745","   14353","      70","      62"," 2016733","    5785","      37","   47679","   36201","       7"
"map00930.Caprolactam.degradation","  100"," 2137","   18","    7","   84"," 1975","   19","   15","  842","  170","  245","  132","   29","    9","   49","   35","   37","   53","   35","    4","   13","   37","    5","   64","    8","  652","   36","   46","  112"," 7787"," 3416","    8"," 6369"," 4136","   15"," 5496"," 2710","   20"," 1798","  914","   12","    1","   21","  638","   72","   38","   21","   17"," 1150","   30","   82","  124","   28","   44","   27","  198","  933","   26","   51","   44","    7","   54","   24"," 1558"," 1451","    9","57437"," 2053","   10","   18","59964"," 5526","   29","   26","40054"," 2370","   11","14078","13453","    5"
"map01240.Biosynthesis.of.cofactors","     3254","   209295","     1296","      244","     1641","    65940","      617","     2198","   209780","    77974","     7276","     3324","     1406","      377","     1491","      692","      564","     1394","      967","      269","      231","     2274","      221","     1926","     1196","  1248736","     1329","     1489","     8475","   757565","    81159","      534","   931365","   178020","      372","  1079405","    86777","      994","  1053056","    43956","      269","       96","     4106","    26117","     4748","      940","      504","      635","    45481","     1311","     2659","     5265","      811","     1842","      858","     4638","    41588","     3875","     1510","     3125","      286","    38457","      686","   189657","    54817","      481"," 28654463","    84625","      331","      574","207277749","   200758","      976","      883"," 24899232","    77182","      424","   596535","   483702","      109"
"map00260.Glycine..serine.and.threonine.metabolism.","     932","   57066","     381","      76","     515","   21113","     192","     644","   55996","   20678","    2344","    1168","     442","     132","     418","     243","     152","     474","     293","     115","      84","     665","      62","     704","     326","  307118","     479","     503","    2474","  220217","   28940","     213","  243639","   62362","     117","  294141","   30980","     346","  275818","   13115","      89","      24","    1103","    8348","    1404","     369","     147","     213","   13210","     373","     950","    1592","     255","     565","     304","    1521","   14467","     973","     552","     899","      68","    9113","     235","   55654","   18729","     149"," 7102809","   29309","      99","     207","49415314","   69871","     271","     309"," 6472316","   27229","     171","  200566","  168280","      38"
"map00270.Cysteine.and.methionine.metabolism","     689","   65115","     407","      54","     560","   22623","     192","     762","   71505","   27145","    2424","    1242","     469","     140","     374","     237","     159","     577","     485","     154","      80","     914","      89","     792","     451","  486125","     628","     639","    3123","  269908","   37043","     256","  328307","   80096","     133","  359193","   40416","     471","  357997","   16096","      99","      21","    1381","    9024","    1388","     354","     167","     227","   13934","     414","     890","    1952","     302","     592","     251","    1512","   20439","     768","     623","    1015","     115","   11558","     308","   70058","   24871","     217"," 9521302","   37274","     141","     273","67097665","   88685","     350","     415"," 7890886","   35669","     207","  262948","  214716","      37"
"map00300.Lysine.biosynthesis","     436","   32679","     218","      32","     213","    8972","      87","     376","   35893","   14417","    1260","     432","     172","      55","     217","      88","      80","     186","     139","      36","      36","     414","      26","     280","     189","  315370","     188","     223","    1366","  131772","   11685","      66","  148822","   26951","      46","  168823","   12931","     141","  190949","    6697","      58","       8","     738","    3928","     686","     156","      69","      84","    5746","     199","     342","     773","     100","     223","      88","     564","    6186","     396","     226","     606","      33","    6371","     105","   33741","    8033","      53"," 4887116","   12579","      46","      68","38119213","   29777","     137","     101"," 3866339","   11717","      71","   92546","   71196","      14"
"map01230.Biosynthesis.of.amino.acids","     3195","   223348","     1531","      255","     1861","    74158","      681","     2430","   236632","    88631","     8190","     3899","     1662","      459","     1508","      811","      582","     1711","     1132","      325","      224","     2882","      241","     2464","     1480","  1495064","     1500","     1710","     9399","   807031","    98819","      736","  1007418","   224861","      415","  1121663","   108734","     1211","  1151754","    45702","      372","      123","     4831","    28546","     5120","     1192","      522","      703","    46335","     1405","     3092","     5967","      982","     2007","      848","     5191","    52173","     3093","     1952","     3587","      268","    38929","      881","   222297","    69897","      501"," 30539570","   104555","      354","      780","205279513","   248783","      960","     1093"," 24727012","    98151","      584","   738708","   603279","      109"
"map00650.Butanoate.metabolism","     754","   49245","     291","      71","     491","   18766","     162","     546","   47050","   17092","    1879","    1109","     473","     118","     362","     226","     147","     423","     331","      62","      49","     466","      55","     547","     282","  236197","     381","     367","    2052","  182306","   23861","     157","  213126","   47008","      89","  231239","   24737","     287","  252338","   11031","      84","      25","     881","    7015","    1141","     276","     139","     150","   11139","     309","     769","    1320","     271","     493","     240","    1491","   10646","     488","     557","     724","      77","    7064","     207","   40237","   15205","     121"," 5586445","   22574","      78","     173","49325610","   53829","     211","     238"," 5231123","   22068","     101","  155355","  131135","      32"
"map00640.Propanoate.metabolism","     977","   47436","     301","      59","     551","   21985","     179","     511","   42962","   15040","    1983","    1288","     465","     130","     473","     234","     162","     512","     315","      95","      86","     539","      82","     673","     324","  299525","     469","     496","    2058","  158880","   30757","     170","  206661","   63466","     127","  233059","   30681","     345","  197038","   10973","      89","      20","     929","    8385","    1390","     353","     163","     165","   13181","     352","    1015","    1570","     326","     517","     280","    1574","   14536","     668","     631","     643","      96","    6740","     208","   48758","   19201","     153"," 5406557","   29657","     116","     208","35738449","   71290","     250","     334"," 4440755","   28018","     144","  199319","  173285","      33"
"map00564.Glycerophospholipid.metabolism","     356","   23710","     128","      34","     175","    5851","      71","     239","   24795","    9565","     815","     278","     103","      54","     160","      84","      39","     136","      64","       9","      19","     274","       6","     167","     136","  176297","      98","     113","    1050","   83445","    5742","      26","   77737","   10484","      25","  139909","    6025","      65","  108132","    3639","      33","       5","     470","    2739","     474","     102","      51","      47","    3903","     157","     213","     658","      84","     219","      56","     449","    2668","     304","     110","     361","      19","    3641","      49","   27746","    3661","      42"," 2936633","    5605","      21","      42","19460700","   12901","      67","      53"," 3959816","    5080","      36","   42225","   31559","       8"
"map04011.MAPK.signaling.pathway...yeast","    57","  1079","     2","     6","    15","  1043","    14","    11","   681","   205","   105","    46","    26","    14","    28","     8","     7","    20","    13","     5","     5","    11","     9","    15","     1","   834","    18","    11","    37","  3655","   593","    12","  5118","  1332","     1","  6401","   898","     8","  2263","   425","     9","     3","    32","   322","    73","    10","     2","     8","   719","    15","    35","    49","    12","    25","     7","    83","   303","    18","    16","    19","     2","   129","     3","  2243","   476","     8","129015","   651","     5","     9","416337","  1707","     4","     7"," 66912","   651","    11","  4332","  3932","     7"
"map00051.Fructose.and.mannose.metabolism","     494","   42352","     278","      35","     218","   10076","     120","     458","   42058","   17239","    1251","     502","     199","      68","     237","      94","      76","     208","     129","      24","      26","     449","      17","     309","     243","  236219","     190","     162","    1562","  145950","   10668","      88","  160689","   23684","      71","  192896","   11946","     143","  215385","    7116","      74","      17","     854","    4389","     802","     138","      53","      82","    6547","     215","     347","     814","     116","     329","     113","     617","    5785","     463","     246","     653","      40","    7264","      68","   36244","    7947","      56"," 5568450","   11825","      45","      84","40377805","   26787","     112","      98"," 4864478","   10985","      61","   88910","   65218","      13"
"map00521.Streptomycin.biosynthesis","     212","   16879","     111","      36","     147","    4466","      44","     180","   15504","    6068","     543","     301","      96","      26","     108","      45","      36","     110","      63","      14","      13","     159","      15","     118","     105","  107721","     107","      83","     600","   54499","    6228","      54","   66553","   13594","      29","   77211","    6785","      53","   90830","    3584","      21","       4","     342","    1783","     217","      98","      29","      56","    2920","     107","     186","     347","      44","     149","      41","     272","    3287","     280","     114","     180","      20","    2998","      31","   12237","    4417","      23"," 1992206","    6408","      28","      35","16956042","   15758","      62","      80"," 1647868","    6013","      35","   45292","   36628","      13"
"map00562.Inositol.phosphate.metabolism","    194","   8151","     69","     16","    107","   3337","     38","    100","   7521","   2548","    248","    203","     66","     27","     85","     31","     30","    110","     35","     12","     16","     71","     11","     63","     40","  38778","     69","     59","    324","  27511","   3728","     12","  30234","   6675","      5","  28731","   3705","     54","  41757","   1697","     13","      6","    187","   1313","    192","     51","     30","     29","   2202","     69","    168","    315","     36","    113","     25","    296","   1574","     92","     85","     98","     14","    990","     17","   5633","   2282","     22"," 901207","   3325","     19","     24","7996530","   8370","     31","     48"," 632728","   2927","     11","  23066","  20187","      7"
"map00052.Galactose.metabolism","     503","   43116","     287","      51","     198","    7172","      73","     526","   44352","   20085","    1481","     380","     150","      51","     195","      81","      60","     142","      81","       9","      21","     576","      11","     214","     227","  328484","     116","      93","    1374","  132287","    7295","      60","  168953","   14613","      30","  196102","    7852","     102","  219699","    6402","      39","      11","    1200","    3694","     684","     141","      41","      68","    4554","     185","     274","     816","      83","     251","      77","     427","    3584","     178","     141","     785","      21","    7150","      36","   33926","    5894","      37"," 6081520","    7551","      21","      51","42434029","   17572","     112","      73"," 4768275","    7010","      47","   74609","   41270","      15"
"map00790.Folate.biosynthesis","     342","   22676","     151","      25","     212","    6565","      58","     193","   22899","    8998","     882","     333","     145","      34","     144","      73","      77","     150","      93","      23","      23","     325","      24","     186","     125","  132585","     139","     146","     913","   83297","    8433","      44","   96882","   16900","      41","  118601","    8602","      91","  108433","    4284","      24","       9","     459","    2683","     542","      97","      56","      99","    4349","     141","     250","     528","      73","     203","     105","     574","    3870","     257","     146","     421","      22","    3973","      68","   22997","    5056","      50"," 3302604","    8238","      52","      65","18919601","   19446","      89","      80"," 2829315","    7799","      41","   59375","   46182","      19"
"map00520.Amino.sugar.and.nucleotide.sugar.metabolism","    1038","   85575","     550","      79","     499","   20703","     183","     925","   84850","   35846","    3034","    1098","     450","     128","     492","     188","     153","     450","     324","      54","      70","     947","      39","     650","     505","  517977","     455","     375","    3068","  284971","   23575","     193","  339214","   52623","     133","  423438","   26067","     268","  429982","   14241","     126","      33","    2065","    8975","    1696","     346","     141","     181","   13930","     471","     761","    1925","     245","     690","     268","    1255","   12477","     961","     471","    1574","      79","   15121","     178","   71475","   16913","     141","11133176","   25210","      92","     184","78445536","   58916","     271","     275","10018837","   23499","     145","  204229","  142569","      38"
"map00541.O.Antigen.nucleotide.sugar.biosynthesis","     431","   35693","     249","      54","     259","   10918","      72","     363","   32644","   12055","    1189","     610","     281","      53","     209","     108","      71","     247","     182","      33","      31","     341","      22","     346","     262","  172924","     268","     233","    1410","  122741","   14722","     110","  143367","   33619","      81","  165037","   16139","     155","  173644","    7153","      52","      16","     724","    4330","     709","     156","      82","     109","    7558","     227","     439","     803","     133","     328","     157","     651","    8127","     670","     298","     487","      52","    6299","      99","   28450","   10233","      78"," 4368531","   15587","      57","      93","31794300","   38057","     172","     183"," 3661430","   15092","      93","  107727","   90111","      13"
"map00340.Histidine.metabolism","     420","   17187","     119","      20","     213","    8185","      57","     158","   14604","    5236","     616","     408","     152","      32","     179","      82","      61","     192","     132","      36","      31","     161","      31","     238","     105","  125128","     191","     185","     676","   60571","   10917","      65","   70132","   22825","      50","   64220","   11263","     116","   61836","    3796","      38","      16","     195","    3005","     474","     114","      49","      80","    4758","     117","     368","     562","     127","     182","      77","     619","    5477","     150","     172","     154","      30","    1786","      70","   13359","    6971","      64"," 1893568","   10727","      40","      87","12541840","   25699","     110","     112"," 1231934","   10326","      63","   69190","   63242","       7"
"map00400.Phenylalanine..tyrosine.and.tryptophan.biosynthesis.","     455","   34673","     228","      23","     319","    9666","      93","     338","   41381","   15498","    1395","     543","     261","      49","     226","      93","      79","     214","     148","      37","      31","     489","      29","     325","     228","  176895","     192","     254","    1441","  129348","   13084","     108","  166987","   29373","      58","  179128","   14280","     182","  190570","    6226","      53","      18","     820","    3805","     684","     145","      66","      94","    6372","     243","     414","     881","     139","     293","     116","     698","    6881","     560","     225","     555","      22","    6784","     120","   33848","    9083","      71"," 5717500","   14030","      38","     119","31067927","   32189","     117","     148"," 4124267","   13001","      68","  102981","   79264","       9"
"map00630.Glyoxylate.and.dicarboxylate.metabolism","    1153","   52823","     398","      77","     729","   28855","     279","     536","   42669","   13470","    2620","    1666","     617","     190","     550","     329","     265","     696","     440","     144","     121","     535","     118","     914","     357","  162426","     556","     615","    2302","  185397","   38161","     255","  229647","   80874","     180","  223443","   40270","     453","  202466","   15420","     108","      47","     846","   10651","    1610","     464","     227","     240","   17283","     409","    1250","    1779","     389","     706","     372","    2247","   18068","    1009","     837","     585","     129","    7141","     254","   52313","   24621","     155"," 5445121","   38037","     151","     272","38120298","   92170","     316","     440"," 4371551","   36079","     214","  246579","  222498","      57"
"map04066.HIF.1.signaling.pathway","     215","   20321","     127","      14","     122","    5836","      50","     212","   19521","    7625","     504","     242","     121","      36","     108","      65","      32","     127","      62","      24","      22","     222","      24","     177","     145","  155497","      98","     147","     808","   59493","    7235","      54","   84318","   17858","      30","  104498","    7945","      97","   97814","    3250","      30","      12","     418","    2143","     409","      80","      39","      51","    4108","     106","     213","     440","      70","     152","      70","     341","    4240","     341","     151","     307","      29","    3699","      53","   18067","    5301","      35"," 2523185","    8210","      42","      68","18324702","   19466","      80","      99"," 2421072","    7357","      44","   58749","   46631","       7"
"map04922.Glucagon.signaling.pathway","     248","   20507","     131","      21","     132","    5586","      54","     249","   20527","    8436","     642","     283","     114","      34","     121","      55","      35","      90","      99","      26","      21","     234","      15","     142","      98","  156624","     101","     118","     799","   63766","    6379","      45","   83926","   14315","      48","  110802","    6514","     102","  106501","    3253","      25","      16","     491","    2303","     369","      99","      33","      54","    3728","     107","     210","     477","      70","     147","      90","     286","    3306","     251","     123","     352","      27","    3662","      41","   18527","    4570","      32"," 2741533","    6763","      19","      53","18775871","   16009","      69","      62"," 2623509","    6257","      36","   50211","   37039","      10"
"map05230.Central.carbon.metabolism.in.cancer","     292","   17400","     105","      21","     144","    6474","      71","     169","   15343","    6174","     628","     302","     126","      31","     145","      66","      47","     123","      94","      25","      23","     259","      26","     180","      89","  154820","     120","     124","     658","   45972","    7408","      59","   69591","   17589","      39","   86364","    7879","      96","   70746","    3018","      22","      14","     403","    2293","     390","     107","      44","      72","    4176","      83","     275","     407","      81","     169","      80","     354","    3996","     335","     159","     288","      32","    3044","      46","   17761","    5017","      41"," 2053729","    7851","      37","      61","12626983","   19186","      93","      81"," 1779363","    7540","      38","   57918","   46393","       6"
"map00680.Methane.metabolism","     725","   49317","     314","      50","     408","   17702","     201","     584","   47650","   17114","    2022","     940","     406","      98","     311","     240","     140","     447","     243","      67","      62","     477","      59","     499","     293","  234917","     386","     348","    2235","  180106","   22524","     181","  201538","   49558","      86","  251002","   24840","     293","  240029","   12453","     104","      26","     848","    7024","    1124","     297","     136","     144","   10312","     333","     809","    1360","     265","     546","     264","    1414","   11643","     480","     508","     703","      64","    6979","     169","   54237","   15622","      93"," 5691822","   23934","      83","     137","45784803","   55669","     215","     265"," 6100355","   22090","     111","  157908","  135493","      59"
"map01200.Carbon.metabolism","     3369","   200807","     1322","      240","     1914","    78389","      745","     2223","   186364","    66516","     7082","     4295","     1768","      447","     1624","      886","      567","     1834","     1130","      351","      261","     2226","      268","     2446","     1257","   946485","     1627","     1733","     8628","   705143","    99755","      693","   859132","   224286","      435","  1002933","   108305","     1224","   957475","    45958","      381","      127","     3715","    29409","     4879","     1183","      585","      715","    49254","     1372","     3375","     5589","     1053","     2033","      932","     5475","    51369","     3176","     2190","     2809","      308","    31458","      817","   194286","    68525","      521"," 23482910","   104710","      436","      737","181157003","   250885","      905","     1132"," 22331106","    98491","      540","   709191","   607476","      154"
"map00072.Synthesis.and.degradation.of.ketone.bodies","    136","   4746","     25","     15","     90","   3770","     25","     37","   2698","    803","    351","    230","     80","     23","     52","     44","     25","     65","     71","     21","      5","     75","     24","    117","     51","  29562","     83","     76","    234","  14468","   6156","     18","  18462","  10758","     18","  14164","   5613","     54","   7721","   1401","     12","      4","     97","   1444","    228","     54","     27","     29","   2271","     63","    152","    245","     66","     70","     57","    338","   2403","     68","    158","     66","     24","    266","     33","   5671","   3298","     18"," 216881","   4977","     23","     41","1314488","  12463","     41","     46"," 128979","   5024","     27","  33522","  30752","      5"
"map00280.Valine..leucine.and.isoleucine.degradation.","     880","   29414","     173","      65","     577","   21317","     156","     293","   19951","    5629","    1573","    1320","     485","     120","     361","     242","     172","     496","     344","     109","      78","     396","      89","     618","     249","   86372","     442","     497","    1378","   94564","   31165","     152","  126932","   59792","      92","  109902","   29724","     283","   78425","    8279","      78","      24","     572","    7633","    1059","     331","     163","     221","   12746","     313","     965","    1293","     314","     426","     266","    1696","   13369","     651","     596","     334","     107","    3340","     209","   28116","   18105","     126"," 2237596","   27996","     105","     197","13193553","   67953","     227","     318"," 1697556","   27039","     153","  181992","  167250","      35"
