"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL","UA","BAL","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","UA","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL"
"M00013.Malonate.semialdehyde.pathway..propanoyl.CoA....acetyl.CoA","    22","  1166","     3","     2","     6","   749","     4","    16","  1217","   340","    46","    30","    10","     6","    19","    12","     3","    22","     9","     1","     0","     6","     0","    11","     6"," 14894","    18","    30","  3448","     2","  4299","     5","  3989","    15","  4564","     2","     0","    13","   219","    51","    15","     4","     2","   323","    10","    31","    30","    10","    12","     2","    58","   464","    16","    17","     9","     2","   127","     7","   981","     3","127762","     4","     6","761898","    10","     7"," 12358","    12","  5520","     0"
"M00014.Glucuronate.pathway..uronate.pathway.","     27","   1957","     10","      0","      6","    318","      3","     11","   2484","    921","     74","     31","     10","      5","      9","      7","      8","      3","      6","      2","      0","     26","      0","     20","     13","   9176","     11","     66","   7488","      0","   9134","      0","  11285","      5","  11453","      0","      0","     38","    147","     35","      3","      3","      1","    258","      2","      3","     36","      3","     10","      9","     34","    166","     37","      6","     39","      2","    452","      2","   2554","      4"," 422481","      0","      2","1994436","      0","      5"," 326066","      2","   3264","      0"
"M00015.Proline.biosynthesis..glutamate....proline","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00016.Lysine.biosynthesis..succinyl.DAP.pathway..aspartate....lysine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00017.Methionine.biosynthesis..aspartate....homoserine....methionine","      4","   1009","      5","      0","      0","     59","      0","     17","   1464","    421","      9","      8","      0","      4","      0","      1","      0","      2","      0","      0","      0","      0","      0","      4","      2","   1118","      1","     42","   5523","      1","   4754","      0","   6790","      0","   7964","      0","      0","      8","     21","      2","      0","      0","      0","     32","      4","      7","     15","      0","      3","      0","      8","     34","      2","      4","     11","      0","    146","      0","   1057","      0"," 156881","      0","      0","1661858","      0","      0"," 180799","      1","    482","      0"
"M00018.Threonine.biosynthesis..aspartate....homoserine....threonine","   7"," 248","   0","   6","   0"," 258","   2","   8","  85","   8","  24","  21","   2","   7","   4","   2","   1","   4","   3","   0","   0","   0","   2","   2","   5","  68","   7","  12"," 573","   2"," 737","   4"," 438","   4","  99","   0","   0","   3","  79","  19","   0","   2","   3"," 128","   2","  12","  15","   4","   4","   2","  17"," 110","   4","  15","   4","   1","   5","   3"," 186","   0","2625","   0","   3","1214","   2","   1"," 555","   0","1726","   0"
"M00019.Valine.isoleucine.biosynthesis..pyruvate....valine...2.oxobutanoate....isoleucine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00020.Serine.biosynthesis..glycerate.3P....serine","  1"," 53","  0","  0","  2"," 51","  0","  0"," 15","  0","  0","  4","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 21","  2","  5"," 88","  0","116","  0"," 71","  4","  7","  0","  0","  0"," 15","  0","  2","  0","  0"," 35","  1","  2","  0","  0","  3","  0","  3"," 19","  2","  0","  1","  0","  1","  0"," 36","  2","330","  0","  2","162","  1","  0"," 93","  1","230","  0"
"M00021.Cysteine.biosynthesis..serine....cysteine"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 9"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","11"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0","10"," 0"," 0"," 2"," 0"," 9"," 0"
"M00022.Shikimate.pathway..phosphoenolpyruvate...erythrose.4P....chorismate","   3"," 223","   1","   0","   8"," 224","   1","   2","  93","   2","  10","  14","   4","   0","   1","   0","   2","  10","   1","   2","   0","   0","   2","   4","   1","  47","   1","   6"," 367","   2"," 677","   4"," 300","   7"," 135","   2","   0","   0","  62","   0","   4","   2","   0"," 102","   0","  15","  12","   2","   7","   1","  26","  80","   6","  13","   2","   0","   6","   1"," 141","   1","1674","   0","   0"," 745","   0","   4"," 446","   0","1511","   2"
"M00023.Tryptophan.biosynthesis..chorismate....tryptophan","     21","   1673","      8","      1","     11","    795","      8","     31","   1396","    483","     41","     53","     16","      8","      6","      2","     15","     19","     10","     12","      8","     11","      0","     21","     14","   1819","     19","    108","   7109","     13","   7407","      5","   8935","     15","   8598","      8","      0","     21","    317","     22","     11","      8","      8","    483","      6","     23","     38","      6","     19","      4","     52","    529","     13","     30","      8","      4","    170","      7","   1598","      7"," 181889","      7","      6","1613231","     11","     19"," 250191","      7","   6919","      1"
"M00024.Phenylalanine.biosynthesis..chorismate....phenylpyruvate....phenylalanine","  0","  8","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0"," 22","  1","  0"," 14","  0"," 17","  0"," 16","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  1","  0","  0","  2","  3","  2","  0","  0","  0","  0","  0"," 16","  0","137","  0","  0"," 45","  0","  0"," 31","  0"," 54","  0"
"M00025.Tyrosine.biosynthesis..chorismate....HPP....tyrosine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00026.Histidine.biosynthesis..PRPP....histidine","     38","   2406","     12","      3","     35","   1185","     14","     15","   1987","    559","    107","     67","     34","      3","     28","     21","      6","     33","     17","      5","      1","     24","      3","     43","     17","   2529","     41","    141","  13295","     15","  10135","     10","  12059","     15","  11179","      2","      0","     18","    441","     29","     14","      4","     12","    603","     31","     51","     51","      9","      9","     17","    100","    910","     11","     23","     19","      3","    225","     12","   2910","      8"," 160278","      9","     17","2509415","      8","     12"," 341445","     12","  11753","      4"
"M00027.GABA..gamma.Aminobutyrate..shunt","     3","   222","     0","     0","     6","   146","     4","     2","   132","    29","     4","     1","     0","     0","     2","     1","     0","     2","     0","     0","     0","     4","     0","     5","     0","    77","     1","     6","   394","     1","   774","     0","   884","     1","   856","     0","     0","     0","    50","     3","     1","     0","     0","    81","     0","     4","     4","     0","     1","     0","     3","    53","     2","     0","     2","     0","    12","     2","   122","     4"," 14009","     0","     0","248337","     0","     4","  3674","     2","   929","     0"
"M00028.Ornithine.biosynthesis..glutamate....ornithine","    60","  2241","    21","    10","    40","  2071","    25","    10","  1100","   208","    84","   123","    34","    12","    39","    21","    13","    51","    34","    11","     3","    43","    12","    75","    15"," 11693","    43","   112","  4951","    25","  8368","    10","  7954","    27","  1494","     8","     7","    21","   583","   101","    40","    26","    19","   998","    28","   117","    91","    23","    49","    18","    88","  1353","    30","    66","    13","    12","    94","    22","  1968","    13"," 66995","    17","    21","101471","    35","    33"," 23775","    16"," 17256","     3"
"M00029.Urea.cycle","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00030.Lysine.biosynthesis..AAA.pathway..2.oxoglutarate....2.aminoadipate....lysine","     39","   1857","      9","      7","     17","    649","     11","     17","   1939","    884","     96","     23","     13","      5","     16","      7","      2","      7","      3","      6","      4","     44","      3","     17","     16","  14731","     12","    102","   5413","      2","   7168","      4","  14357","     27","   7191","      4","      3","     40","    304","     65","     18","      4","      6","    546","      7","     27","     52","      9","     12","     13","     42","    383","     76","     15","     70","      3","    532","      6","   3221","      8"," 235935","      3","      1","1235250","     15","      4"," 296416","      2","   6139","      3"
"M00031.Lysine.biosynthesis..mediated.by.LysW..2.aminoadipate....lysine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00032.Lysine.degradation..lysine....saccharopine....acetoacetyl.CoA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00033.Ectoine.biosynthesis..aspartate....ectoine","    45","  1791","     8","     2","    18","   783","    15","    10","  1578","   826","   126","    41","    11","     1","    15","    11","    10","    13","     6","     0","     5","    41","     5","    17","     5"," 16148","    12","    76","  5138","     8","  5852","     0"," 12343","     2","  5877","     1","     3","    72","   323","    42","     4","     2","    21","   532","     9","    31","    48","    17","    21","    14","    83","   347","    89","    29","    44","     2","   402","     3","  3123","     5","219490","     7","     4","868017","     7","     8","265496","     2","  6286","     0"
"M00034.Methionine.salvage.pathway","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00035.Methionine.degradation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00036.Leucine.degradation..leucine....acetoacetate...acetyl.CoA","     9","   340","     1","     6","     2","   230","     0","     3","   154","    29","     8","     3","     6","     2","     8","     4","     0","     1","     0","     0","     0","     0","     0","     2","     0","  1391","     2","     7","   758","     2","   483","     0","   354","     0","   414","     2","     0","     0","    50","     8","     6","     0","     0","   113","     0","     2","     0","     0","     8","     0","     7","    13","     2","     0","     1","     0","    22","     0","    72","     0","  4936","     0","     0","178626","     0","     0"," 12670","     0","   282","     0"
"M00037.Melatonin.biosynthesis..animals..tryptophan....serotonin....melatonin","     4","   160","     0","     0","     0","    42","     0","    12","   141","    35","     0","     0","     2","     2","     0","     0","     0","     0","     0","     0","     2","     0","     0","     2","     2","  1270","     4","     1","   566","     3","   549","     0","   206","     0","   324","     0","     0","     2","    45","     1","     2","     0","     0","    23","     1","     2","     1","     0","     0","     0","     1","    32","     0","     2","     2","     0","    19","     0","    46","     0","  2903","     0","     0","151021","     1","     0","  9768","     0","   323","     0"
