"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL","UA","BAL","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","UA","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL"
"K00138..aldB..aldehyde.dehydrogenase..EC.1.2.1...","  52"," 243"," 415"," 120","  97"," 555","   1","  40","1675","3326","   3","   6","  19","   2","   2","  22","   2","   1","   2","   2","   1","  89","   2","   4","   0"," 145","   1","  38","   1","   0"," 143","   0"," 154","   3"," 193"," 157","   0"," 271"," 111","   0","  83"," 148","  74","  13","   2"," 263","  26","   2","  72","   2","   0","  62","   4","   2","  18","   3","  70","   2","1954","   8"," 157","   0","   0","   3","   2","   2"," 121","   0"," 413","   3"
"K00150..gap2..glyceraldehyde.3.phosphate.dehydrogenase..NAD.P....EC.1.2.1.59."," 0"," 0","29","95"," 0"," 0"," 0","26"," 1","63"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0","45"," 0","90"," 0"," 0","20"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 0"," 0","34"," 0"," 0"," 0"," 0","28"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"
"K00161..PDHA..pdhA..pyruvate.dehydrogenase.E1.component.alpha.subunit..EC.1.2.4.1..","   46","  831","  240","  357","  121","  200","   86"," 1306","88175","72695","  141","   66","   65","   11","   31","   19","    8","   35","   22","    1","    2","    2","   27","   36","  235","  961","    2","   48","   29","    0"," 1536","   12","   57","    2","19652","  342","   15","  178","  479","    5","   83","  344","  155","  180","   60","  147","  251","   69","   59","   14","   13"," 1195","   75","   20"," 4706","   16","34297","   31","  828","    6","  177","   20","    0","  276","  184","    4","  647","   30","   99","    0"
"K00162..PDHB..pdhB..pyruvate.dehydrogenase.E1.component.beta.subunit..EC.1.2.4.1..","     9","   251","   110","   615","   121","   169","    98","  1578","128330"," 99503","   134","   129","   171","     6","    18","    22","    15","    46","    34","     5","     0","    19","    37","    28","   334","   864","     3","   242","    34","     0","   826","     9","    85","     2"," 25991","   470","    21","   407","   262","     0","   305","   229","   192","   260","    53","    45","   324","    82","    40","     9","    30","   333","    42","    26","  5569","    21"," 44455","    29","   618","     2","   286","    44","     0","    94","   401","     3","   933","    40","   210","     0"
"K00163..aceE..pyruvate.dehydrogenase.E1.component..EC.1.2.4.1.","   81"," 1738","  424","  278","  148","  407","  219"," 1671","82918","66381","   29","   74","   66","    2","   77","   31","   19","   20","   28","    8","    2","   88","   23","   13","   17","  283","   23","  114","   18","    7"," 7866","    8","  314","    5","26342","  437","   10","  202"," 1196","    8","  566","  304","  359","  732","   54","  760","  131","   69","   83","    4","    9"," 1721","   43","    4"," 1377","   11"," 2764","   26"," 7264","   26"," 1534","   23","    4"," 3134","   67","    6"," 1316","   61","  419","    0"
"K00169..porA..pyruvate.ferredoxin.oxidoreductase.alpha.subunit..EC.1.2.7.1.","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00170..porB..pyruvate.ferredoxin.oxidoreductase.beta.subunit..EC.1.2.7.1."," 0","92"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","35"," 0"," 0"," 0"," 0","16"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0","21"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"K00171..porD..pyruvate.ferredoxin.oxidoreductase.delta.subunit..EC.1.2.7.1."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0","12"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","40"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"K00172..porC..porG..pyruvate.ferredoxin.oxidoreductase.gamma.subunit..EC.1.2.7.1..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00174..korA..oorA..oforA..2.oxoglutarate.2.oxoacid.ferredoxin.oxidoreductase.subunit.alpha..EC.1.2.7.3.1.2.7.11..","    0","   33","    0","   72","    2","   63","   65","   46"," 5833","11407","   85","   30","    0","    2","    2","   12","    0","    2","    2","    1","    0","    0","    0","   12","    0","   21","    2","    6","    4","    0","  723","    2","  281","    1"," 9509","  408","    2","  149","  369","    3","   42","   44","    2","   67","   23","    6","  165","    9","    0","    4","    2","  131","   12","    4","  520","    0"," 4914","    3","  192","    0","  122","    2","    0"," 1004","   16","    0","  903","   12","    0","    1"
