"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL","UA","BAL","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","UA","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL"
"M00013.Malonate.semialdehyde.pathway..propanoyl.CoA....acetyl.CoA","  73"," 308","  43","  60"," 180","   2","  74","  65","1938","3005","  17","   1","  74","  20","   2","   0","   6","   5","   1","   0","   4","   0","   2","   0","   0"," 470","   5","  57","   0","   0"," 258","   0"," 246","   1"," 516"," 757","   2","  55"," 407","   0"," 202","  86","   6","  70","  10","  96","  45","   6","  14","   0","   0","1037","   4","   4"," 106","   2","1316","   4","1881","   4"," 232","   2","   1","  52","  30","   0","  55","  17","   0","   0"
"M00014.Glucuronate.pathway..uronate.pathway.","  148","  377","   91","  425","   15","   52","   28","  377","22284","19247","   35","   18","  155","    1","    4","   26","    9","    5","   11","    2","    0","  239","    6","    1","   48"," 2053","    1","   67","    4","    0"," 3280","    3","  159","    0"," 7425","  208","    2","  208","  213","    1","  766","  213","   98","  293","   28","   29","   32","   19","   71","    7","    7","  470","   26","    3","  463","    0"," 5792","   11","  919","    6","  492","    9","   21","  729","  164","    1","  180","   15","  183","   10"
"M00015.Proline.biosynthesis..glutamate....proline","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00016.Lysine.biosynthesis..succinyl.DAP.pathway..aspartate....lysine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00017.Methionine.biosynthesis..aspartate....homoserine....methionine","   4","  88","   0","   0","   0","   2","   0","   0"," 266","1188","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","   0"," 208","   4","   2","   0"," 824","   0","   0","   2","  47","   0","   0","   2","   3"," 148","   2","   0","  22","   2","   8","   0","   0","   0","   0","   0","  64","   0"," 442","   0","  15","   0","   0","   2","   0"," 172","   0","   0","  12","   1","   1","   0"
"M00018.Threonine.biosynthesis..aspartate....homoserine....threonine"," 49","270"," 12","370","  8","  2"," 20"," 31","  8"," 31","  1","  0"," 15","  6"," 38","  1"," 20","  4","  2","  2","  3"," 11","  0","  0","  9","157","  2","115","  0","  1"," 41","  0"," 63","  0","  2"," 93","  0"," 25"," 12","  2","155"," 33","309"," 48","  0","  5","  8","  0","  0","  1","  1","459","  0","  0","  1","  1"," 34","  2","293","  8","156","  0","  0"," 16","  0","  0","  0","  0"," 68","  0"
"M00019.Valine.isoleucine.biosynthesis..pyruvate....valine...2.oxobutanoate....isoleucine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00020.Serine.biosynthesis..glycerate.3P....serine","  0"," 28","  0","  0","  0","  0","  0"," 12"," 75","  0","  0","  0","  0","  0","  0","  0"," 24","  0","  7","  2","  0","  0","  0","  0","  0","201","  0","  0","  4","  0","  4","  0"," 39","  0","  0","  1","  0","  0","  0","  0","  0","  0","162","347","  3","170","  0","  0","  0","  2","  0","149","  2","  0","  0","  0","  0","  0","  0","  0"," 32","  0","  0","  0","  0","  0","  0","  0","  0","  2"
"M00021.Cysteine.biosynthesis..serine....cysteine"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","77"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"M00022.Shikimate.pathway..phosphoenolpyruvate...erythrose.4P....chorismate","  7","159"," 12","164","  0"," 35"," 28","  6","  1"," 32","  2","  0","  7","  0","  0","  0"," 10","  0","  9","  0","  0","108","  0","  0","  3"," 67","  1","  3","  0","  0"," 10","  4","  0","  0","  5","245","  0"," 10"," 42","  0","169","  6","  4","130","  1","  8","  4","  0"," 14","  0","  0","108","  0","  0","  2","  0","140","  0"," 59","  2","112","  0","  0","  9","  0","  2"," 10","  1"," 30","  0"
